source_pack_id,source_row_id,source_pack_name,difficulty,tier,position,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,candidate_slot,proposed_word_1_es,proposed_word_2_es,lexical_naturalness_notes,regional_notes,approval_status
pack_s_vs_z,drill_sz_011,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,11,suero,fuero,El contexto con deslizamiento conserva una distinción inicial fuerte.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_012,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,12,suerte,fuerte,Par de alta familiaridad con forma prosódica igualada.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_013,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,13,sonda,fonda,Contraste inicial frecuente con apoyo nasal-oclusivo posterior.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_014,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,14,salto,falto,La coda y las vocales compartidas aíslan la pista fricativa inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_015,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,15,seria,feria,Par de alta frecuencia con separación semántica fuerte.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_016,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,16,sumaba,fumaba,Marco verbal más largo que conserva el mismo contraste inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_017,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,17,sumaban,fumaban,El pretérito plural añade longitud sin cambiar la pista objetivo.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_018,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,18,sumaría,fumaría,Marco verbal de mayor carga léxica que mantiene el control del inicio.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_019,Voicing: /s/ vs /z/,3,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,19,sumaron,fumaron,Par en pasado que mantiene la misma fricativa inicial en palabras más largas.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_020,Voicing: /s/ vs /z/,3,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,20,sumará,fumará,Marco verbal predictivo que conserva una tarea limpia de /s/ frente a /f/.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
