sentence_text_en,target_keyword,target_phoneme,question_text_en,correct_answer_en,acoustic_foil_en,semantic_foil_en,scenario,difficulty,source_row_id,source_language,target_language,translation_status,sentence_text_es,question_text_es,correct_answer_es,acoustic_foil_es,semantic_foil_es
The healing process takes time.,Healing,/h/,What takes time?,Healing,Feeling,Recovery,Medical,2,46,en,es,machine_translated,El proceso de curación lleva tiempo.,¿Qué lleva tiempo?,Cicatrización,Sentimiento,Recuperación
Your stitches can be removed Friday.,Stitches,/st/,What can be removed?,Stitches,Switches,Sutures,Medical,2,47,en,es,machine_translated,Los puntos se pueden quitar el viernes.,¿Qué se puede eliminar?,Puntadas,interruptores,Suturas
The treatment is covered by insurance.,Treatment,/tr/,What is covered?,Treatment,Treaty,Therapy,Medical,3,48,en,es,machine_translated,El tratamiento está cubierto por el seguro.,¿Qué está cubierto?,Tratamiento,Tratado,Terapia
Avoid strenuous activity for two weeks.,Activity,/æ/,What should you avoid?,Activity,Captivity,Exercise,Medical,3,49,en,es,machine_translated,Evite actividades extenuantes durante dos semanas.,¿Qué deberías evitar?,Actividad,Cautiverio,Ejercicio
The diagnosis was a relief.,Diagnosis,/d/,What was a relief?,Diagnosis,Prognosis,Finding,Medical,3,50,en,es,machine_translated,El diagnóstico fue un alivio.,¿Qué fue un alivio?,Diagnóstico,Pronóstico,Descubrimiento
That shirt costs thirty dollars.,Thirty,/θ/,How much does it cost?,Thirty,Dirty,Twenty,Shopping,2,51,en,es,machine_translated,Esa camisa cuesta treinta dólares.,¿Cuánto cuesta?,Treinta,Sucio,Veinte
The sale ends on Sunday.,Sale,/s/,When does the sale end?,Sale,Sail,Discount,Shopping,1,52,en,es,machine_translated,La venta finaliza el domingo.,¿Cuándo termina la venta?,Venta,Navegar,Descuento
Would you like a receipt?,Receipt,/r/,What would you like?,Receipt,Deceit,Record,Shopping,2,53,en,es,machine_translated,¿Quieres un recibo?,¿Qué le gustaría?,Recibo,Engaño,Registro
The fitting room is to your left.,Fitting,/f/,What is to the left?,Fitting,Sitting,Dressing,Shopping,2,54,en,es,machine_translated,El probador está a su izquierda.,¿Qué hay a la izquierda?,Adecuado,Sesión,Vendaje
We accept credit and debit cards.,Credit,/kr/,What do we accept?,Credit,Credited,Charge,Shopping,2,55,en,es,machine_translated,Aceptamos tarjetas de crédito y débito.,¿Qué aceptamos?,Crédito,Acreditado,Cargar
This item is on clearance.,Clearance,/kl/,What is this item on?,Clearance,Appearance,Sale,Shopping,3,56,en,es,machine_translated,Este artículo está en liquidación.,¿En qué consiste este artículo?,Autorización,Apariencia,Venta
The return policy is thirty days.,Return,/r/,What is the policy?,Return,Returned,Exchange,Shopping,2,57,en,es,machine_translated,La política de devolución es de treinta días.,¿Cuál es la política?,Devolver,Devuelto,Intercambio
Your total comes to fifty dollars.,Total,/t/,What is the total?,Total,Hotel,Sum,Shopping,1,58,en,es,machine_translated,Su total asciende a cincuenta dólares.,¿Cuál es el total?,Total,Hotel,Suma
The warranty covers one year.,Warranty,/w/,What covers one year?,Warranty,Guarantee,Protection,Shopping,3,59,en,es,machine_translated,La garantía cubre un año.,¿Qué cubre un año?,Garantía,Garantizar,Protección
Do you have this in a larger size?,Larger,/l/,What size do you need?,Larger,Charger,Bigger,Shopping,2,60,en,es,clinically_reviewed,¿Tienes esto en un tamaño más grande?,¿De qué tamaño necesita?,Más grande,Cargador,Más ancho
The checkout line is very long.,Checkout,/ch/,What is very long?,Checkout,Check out,Payment line,Shopping,2,61,en,es,clinically_reviewed,La fila para pagar es muy larga.,¿Qué fila es muy larga?,La fila para pagar,La fila para entrar,La fila del banco
This brand is very popular.,Brand,/br/,What is popular?,Brand,Bland,Name,Shopping,2,62,en,es,machine_translated,Esta marca es muy popular.,¿Qué es popular?,Marca,Amable,Nombre
We offer free gift wrapping.,Wrapping,/r/,What do we offer?,Wrapping,Rapping,Packaging,Shopping,2,63,en,es,machine_translated,Ofrecemos envoltorio de regalo gratuito.,¿Qué ofrecemos?,Envase,Golpecitos,Embalaje
The store closes at nine tonight.,Closes,/k/,When does the store close?,Closes,Doses,Shuts,Shopping,1,64,en,es,clinically_reviewed,La tienda cierra a las nueve de la noche.,¿A qué hora cierra la tienda?,A las nueve,A las diez,Por la mañana
May I help you find something?,Find,/f/,What can I help you do?,Find,Mind,Locate,Shopping,1,65,en,es,machine_translated,¿Puedo ayudarte a encontrar algo?,¿Qué puedo ayudarte a hacer?,Encontrar,Mente,Localizar
The price includes tax.,Price,/pr/,What includes tax?,Price,Prize,Cost,Shopping,2,66,en,es,machine_translated,El precio incluye impuestos.,¿Qué incluye impuestos?,Precio,Premio,Costo
This color is out of stock.,Stock,/st/,What is out?,Stock,Stuck,Inventory,Shopping,2,67,en,es,machine_translated,Este color está agotado.,¿Qué sale?,Existencias,Atascado,Inventario
Would you like to open an account?,Account,/ɑ/,What would you like to open?,Account,Recount,Card,Shopping,2,68,en,es,machine_translated,¿Le gustaría abrir una cuenta?,¿Qué te gustaría abrir?,Cuenta,Recuento,Tarjeta
The coupon expires next week.,Coupon,/k/,What expires?,Coupon,Groupon,Discount,Shopping,2,69,en,es,machine_translated,El cupón vence la próxima semana.,¿Qué caduca?,Cupón,grupoon,Descuento
These shoes are on sale today.,Shoes,/ʃ/,What is on sale?,Shoes,Choose,Footwear,Shopping,1,70,en,es,machine_translated,Estos zapatos están a la venta hoy.,¿Qué hay en oferta?,Zapatos,Elegir,Calzado
The cashier is ready to help.,Cashier,/k/,Who is ready?,Cashier,Catcher,Clerk,Shopping,2,71,en,es,machine_translated,El cajero está listo para ayudar.,¿Quién está listo?,Cajero,receptor,Oficinista
Please enter your PIN number.,PIN,/p/,What should you enter?,PIN,Bin,Code,Shopping,1,72,en,es,machine_translated,Por favor ingrese su número PIN.,¿Qué deberías ingresar?,ALFILER,Papelera,Código
The basket is by the entrance.,Basket,/b/,Where is the basket?,Basket,Casket,Cart,Shopping,2,73,en,es,machine_translated,La cesta está junto a la entrada.,¿Dónde está la canasta?,Cesta,Ataúd,Carro
This sweater is made of wool.,Wool,/w/,What is it made of?,Wool,Pool,Cotton,Shopping,2,74,en,es,machine_translated,Este suéter está hecho de lana.,¿De qué está hecho?,Lana,Piscina,Algodón
Do you need a bag for that?,Bag,/b/,What do you need?,Bag,Rag,Sack,Shopping,1,75,en,es,clinically_reviewed,¿Necesitas una bolsa para eso?,¿Qué necesitas?,Bolsa,Trapo,Mochila
The discount is twenty percent.,Discount,/d/,What is twenty percent?,Discount,Account,Savings,Shopping,2,76,en,es,machine_translated,El descuento es del veinte por ciento.,¿Qué es el veinte por ciento?,Descuento,Cuenta,Ahorros
Your order should arrive Thursday.,Arrive,/ɑ/,When should it arrive?,Arrive,Alive,Come,Shopping,2,77,en,es,machine_translated,Tu pedido debería llegar el jueves.,¿Cuándo debería llegar?,Llegar,Vivo,Venir
We have a layaway program.,Layaway,/l/,What program do we have?,Layaway,Runway,Payment plan,Shopping,3,78,en,es,machine_translated,Contamos con un programa de apartados.,¿Qué programa tenemos?,Reserva,Pista,plan de pago
This fabric is machine washable.,Fabric,/f/,What is washable?,Fabric,Traffic,Material,Shopping,2,79,en,es,machine_translated,Esta tela es lavable a máquina.,¿Qué es lavable?,Tela,Tráfico,Material
The jewelry counter is upstairs.,Jewelry,/dʒ/,What is upstairs?,Jewelry,Jeweler,Accessories,Shopping,3,80,en,es,machine_translated,El mostrador de joyería está arriba.,¿Qué hay arriba?,Joyas,Joyero,Accesorios
Sign here for your package.,Package,/p/,What should you sign for?,Package,Baggage,Delivery,Shopping,2,81,en,es,machine_translated,Regístrate aquí para recibir tu paquete.,¿Para qué deberías firmar?,Paquete,equipaje,Entrega
The minimum purchase is ten dollars.,Minimum,/m/,What is the minimum?,Minimum,Maximum,Lowest,Shopping,2,82,en,es,machine_translated,La compra mínima es de diez dólares.,¿Cuál es el mínimo?,Mínimo,Máximo,Más bajo
The changing room is occupied.,Occupied,/ɑ/,What is occupied?,Occupied,Preoccupied,Taken,Shopping,3,83,en,es,machine_translated,El vestuario está ocupado.,¿Qué está ocupado?,Ocupado,Preocupado,Tomado
Your loyalty points have been added.,Loyalty,/l/,What has been added?,Loyalty,Royalty,Reward,Shopping,3,84,en,es,machine_translated,Se han añadido tus puntos de fidelidad.,¿Qué se ha agregado?,Lealtad,Realeza,Premio
The item was marked incorrectly.,Marked,/m/,How was it marked?,Marked,Sparked,Priced,Shopping,2,85,en,es,machine_translated,El artículo fue marcado incorrectamente.,¿Cómo se marcó?,Marcado,chispeado,Carillo
Gift cards are available at checkout.,Cards,/k/,What is available?,Cards,Guards,Certificates,Shopping,2,86,en,es,machine_translated,Las tarjetas de regalo están disponibles al finalizar la compra.,¿Qué hay disponible?,Tarjetas,guardias,Certificados
The express lane is for ten items.,Express,/ɛ/,What lane is it?,Express,Excess,Fast,Shopping,2,87,en,es,machine_translated,El carril expreso es para diez artículos.,¿Qué carril es?,Expresar,Exceso,Rápido
Please wait for the next available.,Available,/ɑ/,What should you wait for?,Available,Avoidable,Open,Shopping,2,88,en,es,machine_translated,Espere el próximo disponible.,¿Qué deberías esperar?,Disponible,Evitable,Abierto
The manager can help with that.,Manager,/m/,Who can help?,Manager,Messenger,Supervisor,Shopping,2,89,en,es,machine_translated,El gerente puede ayudar con eso.,¿Quién puede ayudar?,Gerente,Mensajero,Supervisor
This product has free shipping.,Shipping,/ʃ/,What is free?,Shipping,Chipping,Delivery,Shopping,2,90,en,es,machine_translated,Este producto tiene envío gratuito.,¿Qué es gratis?,Envío,astillado,Entrega
The batteries are sold separately.,Batteries,/b/,What is sold separately?,Batteries,Flattery,Power cells,Shopping,2,91,en,es,machine_translated,Las baterías se venden por separado.,¿Qué se vende por separado?,Baterías,Adulación,Células de energía
Your purchase qualifies for a rebate.,Rebate,/r/,What does it qualify for?,Rebate,Debate,Refund,Shopping,3,92,en,es,clinically_reviewed,Su compra califica para un reembolso.,¿Para qué califica?,Reembolso,Debate,Descuento
The garment needs dry cleaning.,Garment,/g/,What needs cleaning?,Garment,Argument,Clothing,Shopping,3,93,en,es,machine_translated,La prenda necesita limpieza en seco.,¿Qué necesita limpieza?,Prenda,Argumento,Ropa
We price match competitors.,Competitors,/k/,What do we match?,Competitors,Petitioners,Rivals,Shopping,3,94,en,es,machine_translated,Igualamos los precios de los competidores.,¿Qué combinamos?,Competidores,Peticionarios,Rivales
The electronics section is downstairs.,Electronics,/ɛ/,What is downstairs?,Electronics,Antics,Technology,Shopping,2,95,en,es,machine_translated,La sección de electrónica está abajo.,¿Qué hay abajo?,Electrónica,Payasadas,Tecnología
Please place your items on the belt.,Belt,/b/,Where should you place items?,Belt,Melt,Conveyor,Shopping,1,96,en,es,machine_translated,Por favor coloque sus artículos en el cinturón.,¿Dónde deberías colocar los artículos?,Cinturón,Derretir,Transportador
I would like the grilled salmon.,Salmon,/s/,What would you like?,Salmon,Solomon,Fish,Restaurant,2,97,en,es,machine_translated,Me gustaría el salmón a la parrilla.,¿Qué le gustaría?,Salmón,Salomón,Pez
The soup of the day is tomato.,Tomato,/t/,What is the soup?,Tomato,Potato,Vegetable,Restaurant,1,98,en,es,machine_translated,La sopa del día es la de tomate.,¿Qué es la sopa?,Tomate,Papa,Verdura
Could we have more bread please?,Bread,/br/,What would you like more of?,Bread,Red,Rolls,Restaurant,1,99,en,es,machine_translated,"¿Podríamos darnos más pan, por favor?",¿Qué te gustaría más?,Pan,Rojo,Rollos
The special includes a salad.,Salad,/s/,What does the special include?,Salad,Solid,Greens,Restaurant,1,100,en,es,machine_translated,El especial incluye ensalada.,¿Qué incluye el especial?,Ensalada,Sólido,Verduras
I would like my steak medium rare.,Medium,/m/,How would you like it?,Medium,Tedium,Cooked,Restaurant,2,101,en,es,machine_translated,Quiero mi bistec medio cocido.,¿Cómo te gustaría?,Medio,Tedio,Cocido
The dessert menu looks wonderful.,Dessert,/d/,What looks wonderful?,Dessert,Desert,Sweets,Restaurant,2,102,en,es,machine_translated,La carta de postres tiene una pinta estupenda.,¿Qué se ve maravilloso?,Postre,Desierto,dulces
May I see the wine list?,Wine,/w/,What would you like to see?,Wine,Whine,Drink,Restaurant,2,103,en,es,machine_translated,¿Puedo ver la carta de vinos?,¿Qué te gustaría ver?,Vino,Gimoteo,Beber
The table by the window is available.,Table,/t/,What is available?,Table,Cable,Seat,Restaurant,1,104,en,es,machine_translated,La mesa junto a la ventana está disponible.,¿Qué hay disponible?,Mesa,Cable,Asiento
We have a reservation for seven.,Reservation,/r/,What do we have?,Reservation,Restoration,Booking,Restaurant,2,105,en,es,clinically_reviewed,Tenemos una reserva para siete.,¿Qué tenemos?,Reserva,Restauración,Mesa
The pasta is homemade here.,Homemade,/h/,What kind of pasta?,Homemade,Foam made,Fresh,Restaurant,2,106,en,es,machine_translated,La pasta aquí es casera.,¿Qué tipo de pasta?,Casero,Espuma hecha,Fresco
Could I get a glass of water?,Glass,/g/,What would you like?,Glass,Class,Cup,Restaurant,1,107,en,es,machine_translated,¿Podría traerme un vaso de agua?,¿Qué le gustaría?,Vaso,Clase,Taza
The appetizer portion is generous.,Appetizer,/æ/,What is generous?,Appetizer,Advertiser,Starter,Restaurant,3,108,en,es,machine_translated,La ración de aperitivo es generosa.,¿Qué es generoso?,Aperitivo,Anunciante,Motor de arranque
Please bring the check when ready.,Check,/ch/,What should I bring?,Check,Deck,Bill,Restaurant,1,109,en,es,machine_translated,Por favor traiga el cheque cuando esté listo.,¿Qué debo traer?,Controlar,Cubierta,Factura
The fish is fresh from the market.,Fish,/f/,What is fresh?,Fish,Dish,Seafood,Restaurant,1,110,en,es,machine_translated,El pescado es fresco del mercado.,¿Qué es fresco?,Pez,Plato,Mariscos
I am allergic to shellfish.,Shellfish,/ʃ/,What are you allergic to?,Shellfish,Selfish,Seafood,Restaurant,2,111,en,es,clinically_reviewed,Soy alérgico a los mariscos.,¿A qué eres alérgico?,Mariscos,Egoísta,Pescado
The sauce is a bit spicy.,Spicy,/sp/,How is the sauce?,Spicy,Icy,Hot,Restaurant,2,112,en,es,machine_translated,La salsa es un poco picante.,¿Cómo es la salsa?,Picante,Helado,Caliente
Could you wrap this to go?,Wrap,/r/,What should I do with this?,Wrap,Rap,Package,Restaurant,2,113,en,es,machine_translated,¿Podrías envolver esto para llevar?,¿Qué debo hacer con esto?,Envoltura,Rap,Paquete
The portions here are very large.,Portions,/p/,What is very large?,Portions,Proportions,Servings,Restaurant,2,114,en,es,clinically_reviewed,Las porciones aquí son muy grandes.,¿Qué es muy grande?,Porciones,Dimensiones,Raciones
I would like dressing on the side.,Dressing,/dr/,What would you like on the side?,Dressing,Pressing,Sauce,Restaurant,2,115,en,es,machine_translated,Me gustaría vestirme de lado.,¿Qué te gustaría al lado?,Vendaje,Prensado,Salsa
The chef recommends the special.,Chef,/ʃ/,Who recommends the special?,Chef,Chief,Cook,Restaurant,2,116,en,es,machine_translated,El chef recomienda el especial.,¿Quién recomienda el especial?,Cocinero,Jefe,Cocinar
We are out of the chocolate cake.,Chocolate,/ch/,What are we out of?,Chocolate,Chalked late,Dessert,Restaurant,2,117,en,es,machine_translated,Se nos acabó el pastel de chocolate.,¿De qué nos hemos quedado sin?,Chocolate,Anotado tarde,Postre
The restaurant opens at five.,Restaurant,/r/,What opens at five?,Restaurant,Rested,Eatery,Restaurant,2,118,en,es,clinically_reviewed,El restaurante abre a las cinco.,¿Qué abre a las cinco?,Restaurante,Descansado,Cafetería
May I take your order now?,Order,/ɔ/,What may I take?,Order,Border,Request,Restaurant,1,119,en,es,machine_translated,¿Puedo tomar tu pedido ahora?,¿Qué puedo tomar?,Orden,Borde,Pedido
The menu has vegetarian options.,Vegetarian,/v/,What options does the menu have?,Vegetarian,Veteran,Meatless,Restaurant,3,120,en,es,machine_translated,El menú tiene opciones vegetarianas.,¿Qué opciones tiene el menú?,Vegetariano,Veterano,sin carne
Would you like still or sparkling?,Sparkling,/sp/,What kind of water?,Sparkling,Parking,Fizzy,Restaurant,2,121,en,es,machine_translated,¿Lo prefieres sin gas o con gas?,¿Qué tipo de agua?,Espumoso,Aparcamiento,Gaseoso
The waiter will be right with you.,Waiter,/w/,Who will be right with you?,Waiter,Water,Server,Restaurant,1,122,en,es,machine_translated,El camarero estará contigo.,¿Quién estará bien contigo?,Mesero,Agua,Servidor
I need a few more minutes to decide.,Minutes,/m/,How much more time?,Minutes,Limits,Time,Restaurant,1,123,en,es,machine_translated,Necesito unos minutos más para decidir.,¿Cuánto tiempo más?,Minutos,Límites,Tiempo
The chicken is grilled to perfection.,Grilled,/gr/,How is the chicken?,Grilled,Filled,Cooked,Restaurant,2,124,en,es,machine_translated,El pollo está asado a la perfección.,¿Cómo está el pollo?,Asado a la parrilla,Completado,Cocido
Could we sit in a booth please?,Booth,/b/,Where would you like to sit?,Booth,Tooth,Table,Restaurant,2,125,en,es,machine_translated,"¿Podríamos sentarnos en una cabina, por favor?",¿Dónde le gustaría sentarse?,Puesto,Diente,Mesa
The happy hour starts at four.,Happy,/h/,What starts at four?,Happy,Sappy,Discount,Restaurant,1,126,en,es,machine_translated,La hora feliz comienza a las cuatro.,¿Qué empieza a las cuatro?,Feliz,Lleno de savia,Descuento
I will have coffee with my meal.,Coffee,/k/,What will you have?,Coffee,Toffee,Drink,Restaurant,1,127,en,es,machine_translated,Tomaré café con mi comida.,¿Qué tendrás?,Café,Caramelo,Beber
The service here is excellent.,Service,/s/,What is excellent?,Service,Surface,Care,Restaurant,2,128,en,es,machine_translated,El servicio aquí es excelente.,¿Qué es excelente?,Servicio,Superficie,Cuidado
Please remove the onions from mine.,Onions,/ʌ/,What should be removed?,Onions,Minions,Vegetables,Restaurant,2,129,en,es,machine_translated,"Por favor, quítale las cebollas a la mía.",¿Qué se debe eliminar?,cebollas,Minions,Verduras
The seafood platter serves two.,Platter,/p/,What serves two?,Platter,Flatter,Dish,Restaurant,2,130,en,es,clinically_reviewed,La tabla de mariscos sirve para dos personas.,¿Qué alcanza para dos personas?,La tabla de mariscos,La mesa de mariscos,El plato principal
I would prefer a quiet table.,Quiet,/kw/,What kind of table?,Quiet,Diet,Peaceful,Restaurant,2,131,en,es,machine_translated,Preferiría una mesa tranquila.,¿Qué tipo de mesa?,Tranquilo,Dieta,Pacífico
