scenario_id,title_en,description_en,difficulty,tier,category,noise_type,source_row_id,source_language,target_language,translation_status,title_es,description_es
scn_movie_tickets,Movie Tickets,Buying tickets at the theater,2,standard,entertainment,babble_8talker_cafeteria,scn_movie_tickets,en,es,machine_translated,Entradas de cine,Comprar entradas en el teatro.
scn_deli_counter,Deli Counter,Ordering at a deli counter,2,free,shopping,grocery_store_ambient,scn_deli_counter,en,es,machine_translated,Mostrador de delicatessen,Hacer pedidos en un mostrador de delicatessen
scn_pet_store,Pet Store Help,Getting advice at a pet store,2,standard,shopping,speech_shaped_steady,scn_pet_store,en,es,machine_translated,Ayuda de la tienda de mascotas,Recibir asesoramiento en una tienda de mascotas
scn_fitness_class,Fitness Class,Signing up for a fitness class,3,standard,services,babble_8talker_cafeteria,scn_fitness_class,en,es,machine_translated,clase de fitness,Inscribirse en una clase de fitness
scn_auto_parts,Auto Parts Store,Finding the right car part,3,premium,shopping,speech_shaped_steady,scn_auto_parts,en,es,machine_translated,Tienda de repuestos para automóviles,Encontrar la pieza de coche adecuada
scn_tax_prep,Tax Preparation,Meeting with a tax preparer,4,premium,professional,speech_shaped_modulated,scn_tax_prep,en,es,machine_translated,Preparación de impuestos,Reunión con un preparador de impuestos
scn_real_estate,Real Estate Showing,Viewing an apartment with an agent,3,premium,professional,speech_shaped_modulated,scn_real_estate,en,es,machine_translated,Mostrando Bienes Raíces,Ver un apartamento con un agente
scn_job_interview,Job Interview,Being interviewed for a position,4,premium,professional,speech_shaped_modulated,scn_job_interview,en,es,machine_translated,Entrevista de trabajo,Ser entrevistado para un puesto.
scn_parent_teacher,Parent-Teacher Meeting,Meeting with your child's teacher,3,premium,professional,speech_shaped_modulated,scn_parent_teacher,en,es,machine_translated,Reunión de padres y maestros,Reunión con el maestro de su hijo
scn_roadside_assist,Roadside Assistance,Calling for car help,3,premium,phone,speech_shaped_steady,scn_roadside_assist,en,es,machine_translated,Asistencia en carretera,Pidiendo ayuda para el coche
scn_dentist_checkin,Dentist Check-in,Arriving for a dental appointment,2,standard,medical,medical_office_ambient,scn_dentist_checkin,en,es,machine_translated,Registro del dentista,Llegando a una cita dental
scn_eye_doctor,Eye Doctor Visit,Getting an eye exam,3,standard,medical,medical_office_ambient,scn_eye_doctor,en,es,machine_translated,Visita al oftalmólogo,Hacerse un examen de la vista
scn_drive_through,Drive-Through Order,Ordering food at a drive-through window,3,standard,dining,transit_ambient,scn_drive_through,en,es,machine_translated,Orden de autoservicio,Pedir comida en una ventanilla de autoservicio
scn_vet_visit,Veterinarian Visit,Taking a pet to the vet,3,standard,medical,medical_office_ambient,scn_vet_visit,en,es,machine_translated,Visita Veterinaria,Llevar una mascota al veterinario
scn_clothing_return,Clothing Store Return,Returning an item at a clothing store,2,standard,shopping,babble_8talker_cafeteria,scn_clothing_return,en,es,machine_translated,Devolución de tienda de ropa,Devolver un artículo en una tienda de ropa
scn_coffee_order,Coffee Shop Order,Ordering a drink at a busy coffee shop,2,free,dining,babble_8talker_cafeteria,scn_coffee_order,en,es,machine_translated,Orden de cafetería,Pedir una bebida en una cafetería concurrida
scn_farmers_market,Farmer's Market,Buying produce at an outdoor market,2,free,shopping,babble_8talker_cafeteria,scn_farmers_market,en,es,machine_translated,Mercado de agricultores,Comprar productos en un mercado al aire libre
scn_phone_banking,Phone Banking Call,Checking an account balance by phone,4,premium,phone,speech_shaped_steady,scn_phone_banking,en,es,machine_translated,Llamada de banca telefónica,Consultar el saldo de una cuenta por teléfono
scn_neighbor_chat,Neighbor Conversation,Chatting with a neighbor outside,2,free,social,speech_shaped_modulated,scn_neighbor_chat,en,es,machine_translated,Conversación con el vecino,Charlando con un vecino afuera
scn_gas_station,Gas Station,Paying inside at a gas station,2,standard,errands,speech_shaped_steady,scn_gas_station,en,es,machine_translated,Gasolinera,Pagar dentro de una gasolinera
scn_schedule_appt,Scheduling an Appointment,Calling to schedule a doctor appointment,3,standard,phone,speech_shaped_steady,scn_schedule_appt,en,es,machine_translated,Programar una cita,Llamar para programar una cita con el médico
scn_package_delivery,Package Delivery,Receiving a delivery at home,2,free,errands,speech_shaped_modulated,scn_package_delivery,en,es,machine_translated,Entrega de paquetes,Recibir una entrega a domicilio
scn_bank_teller,Bank Teller Wire Transfer,Sending a wire transfer at the bank,3,standard,errands,speech_shaped_steady,scn_bank_teller,en,es,machine_translated,Transferencia bancaria por cajero,Enviar una transferencia bancaria en el banco
scn_post_office_passport,Post Office Passport,Applying for a passport at the post office,3,standard,errands,speech_shaped_steady,scn_post_office_passport,en,es,machine_translated,Pasaporte de la oficina de correos,Solicitar un pasaporte en la oficina de correos
scn_gas_station_repair,Gas Station Car Trouble,Asking for help when your car won't start at a gas station,3,standard,errands,transit_ambient,scn_gas_station_repair,en,es,machine_translated,Problemas con el coche de la gasolinera,Pedir ayuda cuando tu coche no arranca en una gasolinera
scn_car_mechanic,Car Mechanic Estimate,Getting a repair estimate from the mechanic,3,premium,services,speech_shaped_steady,scn_car_mechanic,en,es,machine_translated,Estimación de mecánico de automóviles,Obtener un presupuesto de reparación del mecánico
scn_pet_store_fish,Pet Store Fish Tank,Setting up a fish tank with pet store guidance,2,standard,shopping,speech_shaped_steady,scn_pet_store_fish,en,es,machine_translated,Tienda de mascotas Pecera,Montar una pecera con orientación en una tienda de mascotas
scn_shoe_store,Shoe Store Fitting,Getting fitted for new running shoes,2,standard,shopping,babble_8talker_cafeteria,scn_shoe_store,en,es,machine_translated,Montaje de zapatería,Preparándose para nuevos zapatos para correr
scn_tech_support_printer,Tech Support Printer,Calling tech support about a printer issue,4,premium,phone,speech_shaped_steady,scn_tech_support_printer,en,es,machine_translated,Impresora de soporte técnico,Llamar al soporte técnico por un problema con la impresora
scn_home_repair,Home Repair Estimate,Getting an estimate from a home repair contractor,3,premium,services,speech_shaped_modulated,scn_home_repair,en,es,machine_translated,Estimación de reparación de viviendas,Obtener un presupuesto de un contratista de reparación de viviendas
scn_eye_exam_glasses,Eye Exam Glasses Fitting,Choosing new glasses frames after an eye exam,2,standard,medical,medical_office_ambient,scn_eye_exam_glasses,en,es,machine_translated,Ajuste de gafas de examen de la vista,Elegir nuevas monturas para gafas después de un examen de la vista
scn_physical_therapy,Physical Therapy Session,Starting a new physical training program,3,standard,medical,medical_office_ambient,scn_physical_therapy,en,es,machine_translated,Sesión de fisioterapia,Comenzando un nuevo programa de entrenamiento físico
scn_blood_test,Blood Test Lab Visit,Checking in for a blood draw at the lab,3,standard,medical,medical_office_ambient,scn_blood_test,en,es,machine_translated,Visita al laboratorio de análisis de sangre,Registrarse para una extracción de sangre en el laboratorio.
scn_hearing_aid_fitting,Hearing Device Fitting,Getting fitted for a new hearing device,3,premium,medical,medical_office_ambient,scn_hearing_aid_fitting,en,es,machine_translated,Adaptación de dispositivos auditivos,Cómo adaptarse a un nuevo dispositivo auditivo
scn_nutrition_consult,Nutrition Consultation,Meeting with a nutritionist about dietary goals,3,premium,medical,speech_shaped_modulated,scn_nutrition_consult,en,es,machine_translated,Consulta de Nutrición,Reunión con un nutricionista sobre objetivos dietéticos.
scn_urgent_care,Urgent Care Visit,Visiting urgent care for a sudden illness,3,standard,medical,medical_office_ambient,scn_urgent_care,en,es,machine_translated,Visita de atención urgente,Visitar atención de urgencia por una enfermedad repentina
scn_mental_health_intake,Wellness Intake Appointment,Completing an intake form at a wellness office,4,premium,medical,speech_shaped_modulated,scn_mental_health_intake,en,es,machine_translated,Cita de admisión de bienestar,Completar un formulario de admisión en una oficina de bienestar
scn_flu_shot,Flu Shot at Pharmacy,Getting a flu shot at the pharmacy counter,2,free,medical,grocery_store_ambient,scn_flu_shot,en,es,machine_translated,Vacuna contra la gripe en la farmacia,Vacunarse contra la gripe en el mostrador de la farmacia
scn_job_interview_tech,Technical Job Interview,Interviewing for a technology position,4,premium,professional,speech_shaped_modulated,scn_job_interview_tech,en,es,machine_translated,Entrevista de Trabajo Técnico,Entrevista para un puesto de tecnología
scn_team_meeting,Team Meeting Update,Giving a project update at a team meeting,3,standard,professional,babble_8talker_cafeteria,scn_team_meeting,en,es,machine_translated,Actualización de la reunión de equipo,Dar una actualización del proyecto en una reunión de equipo
scn_client_call,Client Phone Call,Discussing a project timeline with a client,4,premium,phone,speech_shaped_steady,scn_client_call,en,es,machine_translated,Llamada telefónica del cliente,Discutir el cronograma del proyecto con un cliente
scn_office_tour,New Employee Office Tour,Being shown around the office on your first day,2,free,professional,babble_8talker_cafeteria,scn_office_tour,en,es,machine_translated,Visita a la oficina de nuevos empleados,Ser mostrado por la oficina el primer día.
scn_break_room_chat,Break Room Conversation,Chatting with coworkers during a break,2,free,social,babble_8talker_cafeteria,scn_break_room_chat,en,es,machine_translated,Conversación en la sala de descanso,Charlar con compañeros de trabajo durante un descanso
scn_performance_review,Performance Review Meeting,Discussing annual performance goals with a manager,4,premium,professional,speech_shaped_modulated,scn_performance_review,en,es,machine_translated,Reunión de revisión del desempeño,Discutir los objetivos de desempeño anual con un gerente
scn_training_session,Workplace Training Session,Attending a new software training session,3,standard,professional,babble_8talker_cafeteria,scn_training_session,en,es,machine_translated,Sesión de formación en el lugar de trabajo,Asistir a una nueva sesión de formación de software
scn_coworker_lunch,Coworker Lunch Outing,Having lunch with coworkers at a restaurant,2,standard,dining,restaurant_moderate,scn_coworker_lunch,en,es,machine_translated,Almuerzo con compañeros de trabajo,Almorzando con compañeros de trabajo en un restaurante.
scn_book_club,Book Club Meeting,Discussing a novel at a monthly book club,3,standard,social,babble_8talker_cafeteria,scn_book_club,en,es,machine_translated,Reunión del club de lectura,Discutir una novela en un club de lectura mensual
scn_neighborhood_bbq,Neighborhood Barbecue,Chatting with neighbors at a summer barbecue,2,free,social,babble_8talker_cafeteria,scn_neighborhood_bbq,en,es,machine_translated,Barbacoa de barrio,Charlando con vecinos en una barbacoa de verano
scn_birthday_party,Birthday Party Conversation,Talking with guests at a birthday celebration,2,free,social,babble_8talker_cafeteria,scn_birthday_party,en,es,machine_translated,Conversación sobre la fiesta de cumpleaños,Hablar con invitados en una celebración de cumpleaños.
scn_volunteer_orientation,Volunteer Orientation,Signing up and learning about volunteer duties,3,standard,social,speech_shaped_modulated,scn_volunteer_orientation,en,es,machine_translated,Orientación para voluntarios,Registrarse y aprender sobre las tareas de voluntariado
scn_sports_game,Sports Game Outing,Chatting with a friend at a live sports event,3,standard,entertainment,babble_8talker_cafeteria,scn_sports_game,en,es,machine_translated,Salida de juegos deportivos,Charlar con un amigo en un evento deportivo en vivo
scn_movie_night,Movie Night Planning,Deciding what to watch with friends at home,2,free,social,speech_shaped_modulated,scn_movie_night,en,es,machine_translated,Planificación de una noche de cine,Decidir qué mirar con amigos en casa
scn_community_garden,Community Garden Plot,Signing up for a plot at a community garden,2,free,social,speech_shaped_modulated,scn_community_garden,en,es,machine_translated,Parcela de jardín comunitario,Registrarse para una parcela en un jardín comunitario
scn_dance_class,Dance Class Registration,Signing up for a beginner dance class,2,standard,services,babble_8talker_cafeteria,scn_dance_class,en,es,machine_translated,Registro de clases de baile,Inscribirse en una clase de baile para principiantes
scn_hotel_checkin_late,Late Hotel Check-in,Arriving late to check in at a hotel,3,standard,travel,speech_shaped_steady,scn_hotel_checkin_late,en,es,machine_translated,Registro tardío en el hotel,Llegar tarde para registrarse en un hotel
scn_car_rental_return,Car Rental Return,Returning a rental car and settling the bill,3,standard,travel,transit_ambient,scn_car_rental_return,en,es,machine_translated,Devolución de coches de alquiler,Devolver un coche de alquiler y liquidar la factura
scn_train_station,Train Station Tickets,Buying tickets at the train station counter,3,standard,travel,transit_ambient,scn_train_station,en,es,machine_translated,Billetes de estación de tren,Comprar billetes en el mostrador de la estación de tren.
scn_border_crossing,Border Crossing Checkpoint,Answering questions at a border checkpoint,4,premium,travel,transit_ambient,scn_border_crossing,en,es,machine_translated,Puesto de control del cruce fronterizo,Responder preguntas en un puesto de control fronterizo
scn_tour_guide,Tour Guide Excursion,Joining a guided walking tour of a city,3,standard,travel,babble_8talker_cafeteria,scn_tour_guide,en,es,machine_translated,Excursión con guía turístico,Unirse a una visita guiada a pie por una ciudad
scn_cruise_ship,Cruise Ship Embarkation,Boarding a cruise ship and finding your cabin,3,premium,travel,babble_8talker_cafeteria,scn_cruise_ship,en,es,machine_translated,Embarque de cruceros,Abordar un crucero y encontrar tu camarote
scn_bus_tour,Bus Tour Sightseeing,Talking with the guide on a sightseeing bus tour,3,standard,travel,transit_ambient,scn_bus_tour,en,es,machine_translated,Tour en autobús Turismo,Hablar con el guía en un recorrido turístico en autobús
scn_roadside_assist_tow,Roadside Tow Truck Arrival,Coordinating with a tow truck driver on the roadside,3,premium,travel,transit_ambient,scn_roadside_assist_tow,en,es,machine_translated,Llegada de la grúa en la carretera,Coordinando con el conductor de una grúa en la carretera
