id,drill_pack_id,pack_name,contrast_type,word_1_en,word_2_en,target_phoneme_en,contrast_phoneme_en,position,ipa_1,ipa_2,frequency_rank,difficulty,tier,clinical_note_en,source_row_id,source_language,target_language,translation_status,word_1_es,word_2_es,target_phoneme_es,contrast_phoneme_es,clinical_note_es
drill_pb_018,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,topas,tobas,/p/,/b/,medial,/ˈto.pas/,/ˈto.bas/,medium,3,free,Longer plural frame raises load without changing the target cue,drill_pb_018,es,es,clinically_reviewed,topas,tobas,/p/,/b/,Marco plural más largo que eleva la carga sin cambiar la pista objetivo.
drill_pb_019,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,sepa,ceba,/p/,/b/,medial,/ˈse.pa/,/ˈse.ba/,medium,3,free,Shared onset focuses attention on the intervocalic stop contrast,drill_pb_019,es,es,clinically_reviewed,sepa,ceba,/p/,/b/,El inicio compartido concentra la atención en el contraste oclusivo intervocálico.
drill_pb_020,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,sepas,cebas,/p/,/b/,medial,/ˈse.pas/,/ˈse.bas/,medium,2,free,Plural/verb forms preserve the same medial /p/ versus /b/ cue,drill_pb_020,es,es,clinically_reviewed,sepas,cebas,/p/,/b/,Formas plurales/verbales que preservan la misma pista medial de /p/ frente a /b/.
drill_td_001,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,ten,den,/t/,/d/,initial,/tɛn/,/dɛn/,high,1,free,Clear initial contrast,drill_td_001,en,es,machine_translated,diez,guarida,,,Claro contraste inicial
drill_td_002,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,time,dime,/t/,/d/,initial,/taɪm/,/daɪm/,high,1,free,Common word pair,drill_td_002,en,es,machine_translated,tiempo,diez centavos,,,par de palabras comunes
drill_td_003,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,tie,die,/t/,/d/,initial,/taɪ/,/daɪ/,high,1,free,Monosyllabic pair,drill_td_003,en,es,machine_translated,atar,morir,,,par monosilábico
drill_td_004,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,tip,dip,/t/,/d/,initial,/tɪp/,/dɪp/,high,1,free,Short vowel context,drill_td_004,en,es,machine_translated,consejo,aderezo,,,Contexto vocal corto
drill_td_005,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,town,down,/t/,/d/,initial,/taʊn/,/daʊn/,high,1,free,Diphthong context,drill_td_005,en,es,machine_translated,ciudad,abajo,,,Contexto diptongo
drill_td_006,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,tear,dear,/t/,/d/,initial,/tɪr/,/dɪr/,high,2,free,R-colored vowel,drill_td_006,en,es,machine_translated,lágrima,estimado,,,vocal de color R
drill_td_007,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,two,do,/t/,/d/,initial,/tuː/,/duː/,high,1,free,High frequency,drill_td_007,en,es,machine_translated,dos,hacer,,,Frecuencia alta
drill_td_008,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,toe,doe,/t/,/d/,initial,/toʊ/,/doʊ/,medium,2,free,Diphthong minimal pair,drill_td_008,en,es,clinically_reviewed,tía,día,/t/,/d/,Par mínimo bisílabo frecuente para contraste inicial /t/ vs /d/
drill_td_009,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,tab,dab,/t/,/d/,initial,/tæb/,/dæb/,medium,2,free,Less common,drill_td_009,en,es,machine_translated,pestaña,lenguado,,,Menos común
drill_td_010,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,tank,dank,/t/,/d/,initial,/tæŋk/,/dæŋk/,medium,2,free,Velar nasal context,drill_td_010,en,es,machine_translated,tanque,húmedo,,,Contexto nasal velar
drill_td_011,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,bat,bad,/t/,/d/,final,/bæt/,/bæd/,high,2,free,Final voicing cue,drill_td_011,en,es,machine_translated,murciélago,malo,,,Señal de voz final
drill_td_012,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,beat,bead,/t/,/d/,final,/biːt/,/biːd/,high,2,free,Long vowel final,drill_td_012,en,es,machine_translated,derrotar,talón,,,Final de vocal larga
drill_td_013,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,seat,seed,/t/,/d/,final,/siːt/,/siːd/,high,2,free,Vowel length cue,drill_td_013,en,es,machine_translated,asiento,semilla,,,Señal de longitud de vocal
drill_td_014,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,hit,hid,/t/,/d/,final,/hɪt/,/hɪd/,high,2,free,Short vowel final,drill_td_014,en,es,machine_translated,golpear,escondido,,,Final de vocal corta
drill_td_015,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,coat,code,/t/,/d/,final,/koʊt/,/koʊd/,high,2,free,Diphthong final,drill_td_015,en,es,machine_translated,abrigo,código,,,final del diptongo
drill_td_016,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,wet,wed,/t/,/d/,final,/wɛt/,/wɛd/,high,2,free,Common pair,drill_td_016,en,es,machine_translated,húmedo,casarse,,,par común
drill_td_017,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,bet,bed,/t/,/d/,final,/bɛt/,/bɛd/,high,2,free,High frequency,drill_td_017,en,es,machine_translated,apuesta,cama,,,Frecuencia alta
drill_td_018,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,let,led,/t/,/d/,final,/lɛt/,/lɛd/,high,2,free,L-initial context,drill_td_018,en,es,machine_translated,dejar,condujo,,,L-contexto inicial
drill_td_019,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,mat,mad,/t/,/d/,final,/mæt/,/mæd/,high,2,free,Clear contrast,drill_td_019,en,es,machine_translated,estera,enojado,,,Claro contraste
drill_td_020,pack_t_vs_d,Voicing: /t/ vs /d/,voicing,sight,side,/t/,/d/,final,/saɪt/,/saɪd/,high,2,free,Diphthong with final contrast,drill_td_020,en,es,machine_translated,vista,lado,,,Diptongo con contraste final
drill_kg_001,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,cap,gap,/k/,/g/,initial,/kæp/,/ɡæp/,high,1,free,Clear initial contrast,drill_kg_001,en,es,machine_translated,tapa,brecha,,,Claro contraste inicial
drill_kg_002,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,cat,gat,/k/,/g/,initial,/kæt/,/ɡæt/,high,1,free,Common word,drill_kg_002,en,es,machine_translated,gato,revólver,,,palabra común
drill_kg_003,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,came,game,/k/,/g/,initial,/keɪm/,/ɡeɪm/,high,1,free,High frequency pair,drill_kg_003,en,es,machine_translated,vino,juego,,,par de alta frecuencia
drill_kg_004,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,cold,gold,/k/,/g/,initial,/koʊld/,/ɡoʊld/,high,1,free,Familiar words,drill_kg_004,en,es,machine_translated,frío,oro,,,Palabras familiares
drill_kg_005,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,coat,goat,/k/,/g/,initial,/koʊt/,/ɡoʊt/,high,1,free,Clear contrast,drill_kg_005,en,es,machine_translated,abrigo,cabra,,,Claro contraste
drill_kg_006,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,curl,girl,/k/,/g/,initial,/kɜrl/,/ɡɜrl/,high,2,free,R-colored vowel,drill_kg_006,en,es,machine_translated,rizo,chica,,,vocal de color R
drill_kg_007,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,cave,gave,/k/,/g/,initial,/keɪv/,/ɡeɪv/,medium,2,free,Less common pair,drill_kg_007,en,es,machine_translated,cueva,dio,,,pareja menos común
drill_kg_008,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,cup,gup,/k/,/g/,initial,/kʌp/,/ɡʌp/,high,2,free,Schwa context,drill_kg_008,en,es,machine_translated,taza,chisme,,,Contexto de Schwa
drill_kg_009,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,card,guard,/k/,/g/,initial,/kɑrd/,/ɡɑrd/,high,2,free,Common words,drill_kg_009,en,es,machine_translated,tarjeta,guardia,,,Palabras comunes
drill_kg_010,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,class,glass,/k/,/g/,initial,/klæs/,/ɡlæs/,high,2,free,Cluster contrast,drill_kg_010,en,es,machine_translated,clase,vaso,,,Contraste de racimos
drill_kg_011,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,back,bag,/k/,/g/,final,/bæk/,/bæɡ/,high,2,free,Final voicing,drill_kg_011,en,es,machine_translated,atrás,bolsa,,,voz final
drill_kg_012,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,lock,log,/k/,/g/,final,/lɑk/,/lɑɡ/,high,2,free,Common pair,drill_kg_012,en,es,machine_translated,cerrar,registro,,,par común
drill_kg_013,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,pick,pig,/k/,/g/,final,/pɪk/,/pɪɡ/,high,2,free,High frequency,drill_kg_013,en,es,machine_translated,elegir,cerdo,,,Frecuencia alta
drill_kg_014,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,duck,dug,/k/,/g/,final,/dʌk/,/dʌɡ/,high,2,free,Familiar words,drill_kg_014,en,es,machine_translated,pato,teta,,,Palabras familiares
drill_kg_015,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,dock,dog,/k/,/g/,final,/dɑk/,/dɑɡ/,high,2,free,Common contrast,drill_kg_015,en,es,machine_translated,muelle,perro,,,Contraste común
drill_kg_016,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,rack,rag,/k/,/g/,final,/ræk/,/ræɡ/,medium,2,free,Clear vowel,drill_kg_016,en,es,machine_translated,estante,trapo,,,vocal clara
drill_kg_017,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,tack,tag,/k/,/g/,final,/tæk/,/tæɡ/,high,2,free,Common words,drill_kg_017,en,es,machine_translated,virar,etiqueta,,,Palabras comunes
drill_kg_018,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,leak,league,/k/,/g/,final,/liːk/,/liːɡ/,medium,3,free,Long vowel,drill_kg_018,en,es,machine_translated,filtración,liga,,,vocal larga
drill_kg_019,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,sack,sag,/k/,/g/,final,/sæk/,/sæɡ/,medium,2,free,S-initial context,drill_kg_019,en,es,machine_translated,bolsa,hundimiento,,,S-contexto inicial
drill_kg_020,pack_k_vs_g,Voicing: /k/ vs /g/,voicing,luck,lug,/k/,/g/,final,/lʌk/,/lʌɡ/,high,2,free,Schwa final,drill_kg_020,en,es,machine_translated,suerte,arrastrar,,,final de schwa
drill_fv_001,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fan,van,/f/,/v/,initial,/fæn/,/væn/,high,2,free,Clear fricative contrast,drill_fv_001,en,es,machine_translated,admirador,furgoneta,,,Claro contraste fricativo
drill_fv_002,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fine,vine,/f/,/v/,initial,/faɪn/,/vaɪn/,high,2,free,Diphthong context,drill_fv_002,en,es,machine_translated,bien,enredadera,,,Contexto diptongo
drill_fv_003,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fast,vast,/f/,/v/,initial,/fæst/,/væst/,medium,2,free,Cluster ending,drill_fv_003,en,es,machine_translated,rápido,vasto,,,Final del grupo
drill_fv_004,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fail,veil,/f/,/v/,initial,/feɪl/,/veɪl/,medium,3,free,Less common pair,drill_fv_004,en,es,machine_translated,fallar,velo,,,pareja menos común
drill_fv_005,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,few,view,/f/,/v/,initial,/fjuː/,/vjuː/,high,2,free,Y-glide context,drill_fv_005,en,es,machine_translated,pocos,vista,,,Contexto de deslizamiento en Y
drill_fv_006,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fear,veer,/f/,/v/,initial,/fɪr/,/vɪr/,medium,3,free,R-colored vowel,drill_fv_006,en,es,machine_translated,miedo,virar,,,vocal de color R
drill_fv_007,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,ferry,very,/f/,/v/,initial,/fɛri/,/vɛri/,high,2,free,Two-syllable pair,drill_fv_007,en,es,machine_translated,transportar,muy,,,par de dos sílabas
drill_fv_008,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,file,vile,/f/,/v/,initial,/faɪl/,/vaɪl/,medium,3,free,Diphthong with L,drill_fv_008,en,es,machine_translated,archivo,vil,,,Diptongo con L
drill_fv_009,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,fender,vendor,/f/,/v/,initial,/fɛndər/,/vɛndər/,medium,3,free,Two-syllable,drill_fv_009,en,es,machine_translated,defensa,proveedor,,,dos sílabas
drill_fv_010,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,foul,vowel,/f/,/v/,initial,/faʊl/,/vaʊəl/,medium,3,free,Diphthong pair,drill_fv_010,en,es,machine_translated,falta,vocal,,,par de diptongos
drill_fv_011,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,leaf,leave,/f/,/v/,final,/liːf/,/liːv/,high,2,free,Final fricative voicing,drill_fv_011,en,es,machine_translated,hoja,dejar,,,Voz fricativa final
drill_fv_012,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,safe,save,/f/,/v/,final,/seɪf/,/seɪv/,high,2,free,Common pair,drill_fv_012,en,es,machine_translated,seguro,ahorrar,,,par común
drill_fv_013,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,half,halve,/f/,/v/,final,/hæf/,/hæv/,high,2,free,Familiar words,drill_fv_013,en,es,clinically_reviewed,foca,boca,/f/,/b/,Sustitución española del pack inglés: contraste labial frecuente /f/ vs /b/
drill_fv_014,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,proof,prove,/f/,/v/,final,/pruːf/,/pruːv/,high,3,free,Long vowel context,drill_fv_014,en,es,machine_translated,prueba,probar,,,Contexto de vocal larga
drill_fv_015,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,calf,calve,/f/,/v/,final,/kæf/,/kæv/,medium,3,free,Less common,drill_fv_015,en,es,machine_translated,becerro,parir,,,Menos común
drill_fv_016,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,strife,strive,/f/,/v/,final,/straɪf/,/straɪv/,medium,4,free,Cluster initial,drill_fv_016,en,es,machine_translated,lucha,esforzarse,,,Inicial del cluster
drill_fv_017,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,belief,believe,/f/,/v/,final,/bɪliːf/,/bɪliːv/,high,3,free,Two-syllable pair,drill_fv_017,en,es,machine_translated,creencia,creer,,,par de dos sílabas
drill_fv_018,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,grief,grieve,/f/,/v/,final,/ɡriːf/,/ɡriːv/,medium,3,free,Cluster initial final,drill_fv_018,en,es,machine_translated,dolor,afligirse,,,Clúster inicial final
drill_fv_019,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,serf,serve,/f/,/v/,final,/sɜrf/,/sɜrv/,medium,4,free,R-colored vowel,drill_fv_019,en,es,machine_translated,siervo,atender,,,vocal de color R
drill_fv_020,pack_f_vs_v,Voicing: /f/ vs /v/,voicing,life,live,/f/,/v/,final,/laɪf/,/laɪv/,high,2,free,Common pair,drill_fv_020,en,es,machine_translated,vida,vivir,,,par común
drill_sz_001,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,suma,fuma,/s/,/f/,initial,/ˈsu.ma/,/ˈfu.ma/,high,2,free,Controlled bisyllabic onset contrast with identical vowel frame,drill_sz_001,es,es,clinically_reviewed,suma,fuma,/s/,/f/,Marco bisilábico controlado con vocales idénticas.
drill_sz_002,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumo,fumo,/s/,/f/,initial,/ˈsu.mo/,/ˈfu.mo/,high,2,free,High-familiarity onset contrast in a rounded-vowel frame,drill_sz_002,es,es,clinically_reviewed,sumo,fumo,/s/,/f/,Contraste inicial de alta familiaridad en marco de vocal redondeada.
drill_sz_003,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumas,fumas,/s/,/f/,initial,/ˈsu.mas/,/ˈfu.mas/,medium,3,free,Plural/verb frame preserves the same initial fricative task,drill_sz_003,es,es,clinically_reviewed,sumas,fumas,/s/,/f/,Marco verbal que preserva la misma tarea de fricación inicial.
drill_sz_004,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sume,fume,/s/,/f/,initial,/ˈsu.me/,/ˈfu.me/,medium,2,free,Short two-syllable frame with stable initial spectral contrast,drill_sz_004,es,es,clinically_reviewed,sume,fume,/s/,/f/,Marco corto de dos sílabas con contraste espectral inicial estable.
drill_sz_005,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumen,fumen,/s/,/f/,initial,/ˈsu.men/,/ˈfu.men/,medium,3,free,Plural verb forms extend the same onset frame at moderate difficulty,drill_sz_005,es,es,clinically_reviewed,sumen,fumen,/s/,/f/,Formas verbales plurales que extienden el mismo marco inicial con dificultad moderada.
drill_sz_006,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumé,fumé,/s/,/f/,initial,/suˈme/,/fuˈme/,medium,3,free,Stress-shifted pair keeps the onset contrast while raising lexical load,drill_sz_006,es,es,clinically_reviewed,sumé,fumé,/s/,/f/,Par con cambio de acento que mantiene el contraste inicial y aumenta la carga léxica.
drill_sz_007,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,soso,foso,/s/,/f/,initial,/ˈso.so/,/ˈfo.so/,high,2,free,Common lexical pair with matched syllable structure,drill_sz_007,es,es,clinically_reviewed,soso,foso,/s/,/f/,Par léxico frecuente con estructura silábica igualada.
drill_sz_008,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sosa,fosa,/s/,/f/,initial,/ˈso.sa/,/ˈfo.sa/,high,2,free,Functional lexical pair for initial /s/ versus /f/ discrimination,drill_sz_008,es,es,clinically_reviewed,sosa,fosa,/s/,/f/,Par funcional para discriminar /s/ frente a /f/ en posición inicial.
drill_sz_009,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sino,fino,/s/,/f/,initial,/ˈsi.no/,/ˈfi.no/,high,4,free,Shared rhyme increases attention to the initial fricative cue,drill_sz_009,es,es,clinically_reviewed,sino,fino,/s/,/f/,La rima compartida concentra la atención en la pista fricativa inicial.
drill_sz_010,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,silo,filo,/s/,/f/,initial,/ˈsi.lo/,/ˈfi.lo/,medium,4,free,Near-minimal lexical pair with clear initial frication contrast,drill_sz_010,es,es,clinically_reviewed,silo,filo,/s/,/f/,Par casi mínimo con contraste claro de fricación inicial.
drill_sz_011,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,suero,fuero,/s/,/f/,initial,/ˈswe.ɾo/,/ˈfwe.ɾo/,high,2,free,Glide context retains a strong initial fricative distinction,drill_sz_011,es,es,clinically_reviewed,suero,fuero,/s/,/f/,El contexto con deslizamiento conserva una distinción inicial fuerte.
drill_sz_012,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,suerte,fuerte,/s/,/f/,initial,/ˈsweɾ.te/,/ˈfweɾ.te/,high,2,free,Highly familiar pair with matched prosodic shape,drill_sz_012,es,es,clinically_reviewed,suerte,fuerte,/s/,/f/,Par de alta familiaridad con forma prosódica igualada.
drill_sz_013,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sonda,fonda,/s/,/f/,initial,/ˈson.da/,/ˈfon.da/,medium,2,free,Common onset contrast with nasal-stop support later in the word,drill_sz_013,es,es,clinically_reviewed,sonda,fonda,/s/,/f/,Contraste inicial frecuente con apoyo nasal-oclusivo posterior.
drill_sz_014,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,salto,falto,/s/,/f/,initial,/ˈsal.to/,/ˈfal.to/,high,2,free,Shared coda and vowel frame isolate the initial fricative cue,drill_sz_014,es,es,clinically_reviewed,salto,falto,/s/,/f/,La coda y las vocales compartidas aíslan la pista fricativa inicial.
drill_sz_015,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,seria,feria,/s/,/f/,initial,/ˈse.ɾja/,/ˈfe.ɾja/,high,2,free,High-frequency lexical pair with strong semantic separation,drill_sz_015,es,es,clinically_reviewed,seria,feria,/s/,/f/,Par de alta frecuencia con separación semántica fuerte.
drill_sz_016,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumaba,fumaba,/s/,/f/,initial,/suˈma.ba/,/fuˈma.ba/,medium,2,free,Longer verb frame preserves the same onset contrast,drill_sz_016,es,es,clinically_reviewed,sumaba,fumaba,/s/,/f/,Marco verbal más largo que conserva el mismo contraste inicial.
drill_sz_017,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumaban,fumaban,/s/,/f/,initial,/suˈma.βan/,/fuˈma.βan/,medium,2,free,Plural past-tense frame adds length without changing the target cue,drill_sz_017,es,es,clinically_reviewed,sumaban,fumaban,/s/,/f/,El pretérito plural añade longitud sin cambiar la pista objetivo.
drill_sz_018,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumaría,fumaría,/s/,/f/,initial,/sumaˈɾi.a/,/fumaˈɾi.a/,medium,2,free,Future-conditional style frame raises lexical load while preserving onset control,drill_sz_018,es,es,clinically_reviewed,sumaría,fumaría,/s/,/f/,Marco verbal de mayor carga léxica que mantiene el control del inicio.
drill_sz_019,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,place,sumaron,fumaron,/s/,/f/,initial,/suˈma.ɾon/,/fuˈma.ɾon/,medium,3,free,Past-tense pair maintains the same initial fricative across longer words,drill_sz_019,es,es,clinically_reviewed,sumaron,fumaron,/s/,/f/,Par en pasado que mantiene la misma fricativa inicial en palabras más largas.
