sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
The X ray shows no fracture.,Fracture,/fr/,What does it show?,Fracture,Fractal,Break,Medical,3
Schedule your annual checkup soon.,Checkup,/ch/,What should you schedule?,Checkup,Ketchup,Exam,Medical,2
The vaccine is recommended for adults.,Vaccine,/v/,What is recommended?,Vaccine,Machine,Shot,Medical,3
Please sign the consent form.,Consent,/k/,What kind of form?,Consent,Concept,Permission,Medical,3
The therapist will call you tomorrow.,Therapist,/θ/,Who will call?,Therapist,Rapist,Counselor,Medical,3
Your blood work came back normal.,Blood,/b/,What came back normal?,Blood,Flood,Test,Medical,2
The hospital is on Oak Street.,Hospital,/h/,What is on Oak Street?,Hospital,Hospice,Clinic,Medical,2
Keep the wound clean and dry.,Wound,/w/,What should you keep clean?,Wound,Sound,Injury,Medical,2
The specialist requires a referral.,Referral,/r/,What is required?,Referral,Deferral,Recommendation,Medical,3
Swallow the pill with water.,Swallow,/sw/,What should you do?,Swallow,Shallow,Take,Medical,2
The scale measures your weight.,Scale,/sk/,What measures weight?,Scale,Tale,Device,Medical,2
Please remove your glasses for the test.,Glasses,/g/,What should you remove?,Glasses,Classes,Eyewear,Medical,2
Your heart rate is normal.,Heart,/h/,What is normal?,Heart,Art,Pulse,Medical,2
The nurse will draw blood.,Draw,/dr/,What will the nurse do?,Draw,Raw,Take,Medical,2
Bring your medication list to the visit.,Medication,/m/,What should you bring?,Medication,Meditation,Prescription,Medical,2
The physician reviewed your chart.,Physician,/f/,Who reviewed the chart?,Physician,Magician,Doctor,Medical,3
Rest your arm on the table.,Arm,/ɑ/,What should you rest?,Arm,Alarm,Elbow,Medical,1
Take deep breaths during the exam.,Breaths,/br/,What should you take?,Breaths,Deaths,Inhales,Medical,2
The allergy test was negative.,Allergy,/l/,What kind of test?,Allergy,Gallery,Sensitivity,Medical,3
Your vitals look excellent today.,Vitals,/v/,What looks excellent?,Vitals,Recitals,Signs,Medical,2
The emergency room is very busy.,Emergency,/ɛ/,What room is busy?,Emergency,Urgency,Critical,Medical,2
Please describe your symptoms clearly.,Describe,/d/,What should you do?,Describe,Prescribe,Explain,Medical,2
The healing process takes time.,Healing,/h/,What takes time?,Healing,Feeling,Recovery,Medical,2
Your stitches can be removed Friday.,Stitches,/st/,What can be removed?,Stitches,Switches,Sutures,Medical,2
The treatment is covered by insurance.,Treatment,/tr/,What is covered?,Treatment,Treaty,Therapy,Medical,3
Avoid strenuous activity for two weeks.,Activity,/æ/,What should you avoid?,Activity,Captivity,Exercise,Medical,3
The diagnosis was a relief.,Diagnosis,/d/,What was a relief?,Diagnosis,Prognosis,Finding,Medical,3
That shirt costs thirty dollars.,Thirty,/θ/,How much does it cost?,Thirty,Dirty,Twenty,Shopping,2
The sale ends on Sunday.,Sale,/s/,When does the sale end?,Sale,Sail,Discount,Shopping,1
Would you like a receipt?,Receipt,/r/,What would you like?,Receipt,Deceit,Record,Shopping,2
The fitting room is to your left.,Fitting,/f/,What is to the left?,Fitting,Sitting,Dressing,Shopping,2
We accept credit and debit cards.,Credit,/kr/,What do we accept?,Credit,Credited,Charge,Shopping,2
This item is on clearance.,Clearance,/kl/,What is this item on?,Clearance,Appearance,Sale,Shopping,3
The return policy is thirty days.,Return,/r/,What is the policy?,Return,Returned,Exchange,Shopping,2
Your total comes to fifty dollars.,Total,/t/,What is the total?,Total,Hotel,Sum,Shopping,1
The warranty covers one year.,Warranty,/w/,What covers one year?,Warranty,Guarantee,Protection,Shopping,3
Do you have this in a larger size?,Larger,/l/,What size do you need?,Larger,Charger,Bigger,Shopping,2
The checkout line is very long.,Checkout,/ch/,What is very long?,Checkout,Check out,Payment line,Shopping,2
This brand is very popular.,Brand,/br/,What is popular?,Brand,Bland,Name,Shopping,2
We offer free gift wrapping.,Wrapping,/r/,What do we offer?,Wrapping,Rapping,Packaging,Shopping,2
The store closes at nine tonight.,Closes,/k/,When does the store close?,Closes,Doses,Shuts,Shopping,1
May I help you find something?,Find,/f/,What can I help you do?,Find,Mind,Locate,Shopping,1
The price includes tax.,Price,/pr/,What includes tax?,Price,Prize,Cost,Shopping,2
This color is out of stock.,Stock,/st/,What is out?,Stock,Stuck,Inventory,Shopping,2
Would you like to open an account?,Account,/ɑ/,What would you like to open?,Account,Recount,Card,Shopping,2
The coupon expires next week.,Coupon,/k/,What expires?,Coupon,Groupon,Discount,Shopping,2
These shoes are on sale today.,Shoes,/ʃ/,What is on sale?,Shoes,Choose,Footwear,Shopping,1
The cashier is ready to help.,Cashier,/k/,Who is ready?,Cashier,Catcher,Clerk,Shopping,2
Please enter your PIN number.,PIN,/p/,What should you enter?,PIN,Bin,Code,Shopping,1
The basket is by the entrance.,Basket,/b/,Where is the basket?,Basket,Casket,Cart,Shopping,2
This sweater is made of wool.,Wool,/w/,What is it made of?,Wool,Pool,Cotton,Shopping,2
Do you need a bag for that?,Bag,/b/,What do you need?,Bag,Rag,Sack,Shopping,1
The discount is twenty percent.,Discount,/d/,What is twenty percent?,Discount,Account,Savings,Shopping,2
Your order should arrive Thursday.,Arrive,/ɑ/,When should it arrive?,Arrive,Alive,Come,Shopping,2
We have a layaway program.,Layaway,/l/,What program do we have?,Layaway,Runway,Payment plan,Shopping,3
This fabric is machine washable.,Fabric,/f/,What is washable?,Fabric,Traffic,Material,Shopping,2
The jewelry counter is upstairs.,Jewelry,/dʒ/,What is upstairs?,Jewelry,Jeweler,Accessories,Shopping,3
Sign here for your package.,Package,/p/,What should you sign for?,Package,Baggage,Delivery,Shopping,2
The minimum purchase is ten dollars.,Minimum,/m/,What is the minimum?,Minimum,Maximum,Lowest,Shopping,2
The changing room is occupied.,Occupied,/ɑ/,What is occupied?,Occupied,Preoccupied,Taken,Shopping,3
Your loyalty points have been added.,Loyalty,/l/,What has been added?,Loyalty,Royalty,Reward,Shopping,3
The item was marked incorrectly.,Marked,/m/,How was it marked?,Marked,Sparked,Priced,Shopping,2
Gift cards are available at checkout.,Cards,/k/,What is available?,Cards,Guards,Certificates,Shopping,2
The express lane is for ten items.,Express,/ɛ/,What lane is it?,Express,Excess,Fast,Shopping,2
Please wait for the next available.,Available,/ɑ/,What should you wait for?,Available,Avoidable,Open,Shopping,2
The manager can help with that.,Manager,/m/,Who can help?,Manager,Messenger,Supervisor,Shopping,2
This product has free shipping.,Shipping,/ʃ/,What is free?,Shipping,Chipping,Delivery,Shopping,2
The batteries are sold separately.,Batteries,/b/,What is sold separately?,Batteries,Flattery,Power cells,Shopping,2
Your purchase qualifies for a rebate.,Rebate,/r/,What does it qualify for?,Rebate,Debate,Refund,Shopping,3
The garment needs dry cleaning.,Garment,/g/,What needs cleaning?,Garment,Argument,Clothing,Shopping,3
We price match competitors.,Competitors,/k/,What do we match?,Competitors,Petitioners,Rivals,Shopping,3
The electronics section is downstairs.,Electronics,/ɛ/,What is downstairs?,Electronics,Antics,Technology,Shopping,2
Please place your items on the belt.,Belt,/b/,Where should you place items?,Belt,Melt,Conveyor,Shopping,1
I would like the grilled salmon.,Salmon,/s/,What would you like?,Salmon,Solomon,Fish,Restaurant,2
The soup of the day is tomato.,Tomato,/t/,What is the soup?,Tomato,Potato,Vegetable,Restaurant,1
Could we have more bread please?,Bread,/br/,What would you like more of?,Bread,Red,Rolls,Restaurant,1
The special includes a salad.,Salad,/s/,What does the special include?,Salad,Solid,Greens,Restaurant,1
I would like my steak medium rare.,Medium,/m/,How would you like it?,Medium,Tedium,Cooked,Restaurant,2
The dessert menu looks wonderful.,Dessert,/d/,What looks wonderful?,Dessert,Desert,Sweets,Restaurant,2
May I see the wine list?,Wine,/w/,What would you like to see?,Wine,Whine,Drink,Restaurant,2
The table by the window is available.,Table,/t/,What is available?,Table,Cable,Seat,Restaurant,1
We have a reservation for seven.,Reservation,/r/,What do we have?,Reservation,Restoration,Booking,Restaurant,2
The pasta is homemade here.,Homemade,/h/,What kind of pasta?,Homemade,Foam made,Fresh,Restaurant,2
Could I get a glass of water?,Glass,/g/,What would you like?,Glass,Class,Cup,Restaurant,1
The appetizer portion is generous.,Appetizer,/æ/,What is generous?,Appetizer,Advertiser,Starter,Restaurant,3
Please bring the check when ready.,Check,/ch/,What should I bring?,Check,Deck,Bill,Restaurant,1
The fish is fresh from the market.,Fish,/f/,What is fresh?,Fish,Dish,Seafood,Restaurant,1
I am allergic to shellfish.,Shellfish,/ʃ/,What are you allergic to?,Shellfish,Selfish,Seafood,Restaurant,2
The sauce is a bit spicy.,Spicy,/sp/,How is the sauce?,Spicy,Icy,Hot,Restaurant,2
Could you wrap this to go?,Wrap,/r/,What should I do with this?,Wrap,Rap,Package,Restaurant,2
The portions here are very large.,Portions,/p/,What is very large?,Portions,Proportions,Servings,Restaurant,2
I would like dressing on the side.,Dressing,/dr/,What would you like on the side?,Dressing,Pressing,Sauce,Restaurant,2
The chef recommends the special.,Chef,/ʃ/,Who recommends the special?,Chef,Chief,Cook,Restaurant,2
We are out of the chocolate cake.,Chocolate,/ch/,What are we out of?,Chocolate,Chalked late,Dessert,Restaurant,2
The restaurant opens at five.,Restaurant,/r/,What opens at five?,Restaurant,Rested,Eatery,Restaurant,2
May I take your order now?,Order,/ɔ/,What may I take?,Order,Border,Request,Restaurant,1
The menu has vegetarian options.,Vegetarian,/v/,What options does the menu have?,Vegetarian,Veteran,Meatless,Restaurant,3
Would you like still or sparkling?,Sparkling,/sp/,What kind of water?,Sparkling,Parking,Fizzy,Restaurant,2
The waiter will be right with you.,Waiter,/w/,Who will be right with you?,Waiter,Water,Server,Restaurant,1
I need a few more minutes to decide.,Minutes,/m/,How much more time?,Minutes,Limits,Time,Restaurant,1
The chicken is grilled to perfection.,Grilled,/gr/,How is the chicken?,Grilled,Filled,Cooked,Restaurant,2
Could we sit in a booth please?,Booth,/b/,Where would you like to sit?,Booth,Tooth,Table,Restaurant,2
The happy hour starts at four.,Happy,/h/,What starts at four?,Happy,Sappy,Discount,Restaurant,1
I will have coffee with my meal.,Coffee,/k/,What will you have?,Coffee,Toffee,Drink,Restaurant,1
The service here is excellent.,Service,/s/,What is excellent?,Service,Surface,Care,Restaurant,2
Please remove the onions from mine.,Onions,/ʌ/,What should be removed?,Onions,Minions,Vegetables,Restaurant,2
The seafood platter serves two.,Platter,/p/,What serves two?,Platter,Flatter,Dish,Restaurant,2
I would prefer a quiet table.,Quiet,/kw/,What kind of table?,Quiet,Diet,Peaceful,Restaurant,2
The daily special is lamb chops.,Lamb,/l/,What is the special?,Lamb,Jam,Meat,Restaurant,2
Could I substitute rice for potatoes?,Substitute,/s/,What would you like to do?,Substitute,Institute,Change,Restaurant,3
The brunch menu ends at two.,Brunch,/br/,What ends at two?,Brunch,Bunch,Meal,Restaurant,2
Turn right at the traffic light.,Traffic,/tr/,What should I turn at?,Traffic,Tragic,Light,Directions,2
The building is on the corner.,Corner,/k/,Where is the building?,Corner,Coroner,Edge,Directions,1
Go straight for two blocks.,Straight,/str/,Which way should I go?,Straight,Great,Direct,Directions,2
The entrance is around back.,Entrance,/ɛ/,Where is the entrance?,Entrance,France,Door,Directions,2
Take the elevator to floor three.,Elevator,/ɛ/,What should you take?,Elevator,Later,Lift,Directions,2
The parking lot is behind the store.,Parking,/p/,Where is the parking lot?,Parking,Barking,Garage,Directions,1
You will see it on your left.,Left,/l/,Which side will you see it?,Left,Cleft,Other side,Directions,1
Follow this road for one mile.,Road,/r/,What should you follow?,Road,Rode,Street,Directions,1
The crosswalk is at the intersection.,Crosswalk,/kr/,Where is the crosswalk?,Crosswalk,Crossed,Crossing,Directions,2
Turn left after the bridge.,Bridge,/br/,Turn after what?,Bridge,Ridge,Overpass,Directions,2
The highway exit is number twelve.,Exit,/ɛ/,What number is the exit?,Exit,Exist,Ramp,Directions,2
Go past the church on Main Street.,Church,/ch/,Go past what?,Church,Lurch,Building,Directions,2
The shortcut saves ten minutes.,Shortcut,/ʃ/,What saves time?,Shortcut,Short cut,Quick way,Directions,2
Merge onto the expressway heading north.,Expressway,/ɛ/,What should you merge onto?,Expressway,Express,Highway,Directions,3
The roundabout has three exits.,Roundabout,/r/,What has three exits?,Roundabout,Round about,Circle,Directions,3
Stay in the right lane.,Lane,/l/,What should you stay in?,Lane,Rain,Track,Directions,1
The destination is on your GPS.,Destination,/d/,What is on your GPS?,Destination,Devastation,Location,Directions,3
Cross the street at the signal.,Signal,/s/,What should you cross at?,Signal,Single,Light,Directions,2
The pedestrian path is safer.,Pedestrian,/p/,What path is safer?,Pedestrian,Equestrian,Walking,Directions,3
Take the second right turn.,Second,/s/,Which turn should you take?,Second,Seconded,Next,Directions,1
The interstate goes directly downtown.,Interstate,/ɪ/,What goes downtown?,Interstate,Inner state,Highway,Directions,3
Follow signs for the airport.,Airport,/ɛ/,What should you follow signs for?,Airport,Support,Terminal,Directions,2
The tunnel is one mile long.,Tunnel,/t/,What is one mile long?,Tunnel,Funnel,Underground,Directions,2
Make a U turn at the light.,U turn,/ju/,What should you make?,U turn,You turn,Reverse,Directions,2
The overpass is under construction.,Overpass,/o/,What is under construction?,Overpass,Underpass,Bridge,Directions,3
Continue past the shopping center.,Shopping,/ʃ/,Continue past what?,Shopping,Dropping,Mall,Directions,2
The speed limit is forty five.,Limit,/l/,What is forty five?,Limit,Illicit,Maximum,Directions,2
Park on the street if lots are full.,Street,/str/,Where should you park?,Street,Treat,Road,Directions,2
The detour adds fifteen minutes.,Detour,/d/,What adds fifteen minutes?,Detour,Contour,Alternate,Directions,2
Watch for pedestrians crossing here.,Pedestrians,/p/,Watch for what?,Pedestrians,Equestrians,Walkers,Directions,2
The underpass leads to downtown.,Underpass,/ʌ/,What leads downtown?,Underpass,Under class,Tunnel,Directions,2
Yield to oncoming traffic.,Yield,/j/,What should you do?,Yield,Field,Give way,Directions,2
The scenic route is more beautiful.,Scenic,/s/,What route is beautiful?,Scenic,Cynic,Pretty,Directions,2
Pass the courthouse on your right.,Courthouse,/k/,What should you pass?,Courthouse,Court house,Building,Directions,2
The sidewalk ends at the park.,Sidewalk,/s/,What ends at the park?,Sidewalk,Side walk,Path,Directions,2
Navigate using the compass.,Compass,/k/,What should you use?,Compass,Campus,Direction tool,Directions,3
My phone number is five five five.,Number,/n/,What is five five five?,Number,Lumber,Digits,Phone,1
Please leave a message after the tone.,Message,/m/,What should I leave?,Message,Passage,Voicemail,Phone,1
The call dropped unexpectedly.,Dropped,/dr/,What happened to the call?,Dropped,Stopped,Ended,Phone,2
I will return your call shortly.,Return,/r/,What will I do?,Return,Returned,Call back,Phone,2
The signal is very weak here.,Signal,/s/,What is weak?,Signal,Single,Reception,Phone,2
Please hold for the next agent.,Hold,/h/,What should I do?,Hold,Fold,Wait,Phone,1
Press one for customer service.,Press,/pr/,What should I do?,Press,Dress,Push,Phone,1
The voicemail box is full.,Voicemail,/v/,What is full?,Voicemail,Voice mail,Message box,Phone,2
Can you hear me clearly now?,Hear,/h/,Can you do what?,Hear,Fear,Listen,Phone,1
I am transferring you now.,Transferring,/tr/,What am I doing?,Transferring,Transfiguring,Connecting,Phone,3
The line is busy at the moment.,Busy,/b/,What is the line?,Busy,Dizzy,Occupied,Phone,1
Please verify your account number.,Verify,/v/,What should you do?,Verify,Certify,Confirm,Phone,2
Your call is important to us.,Important,/ɪ/,What is your call?,Important,Impotent,Valuable,Phone,2
The estimated wait time is ten minutes.,Estimated,/ɛ/,What is ten minutes?,Estimated,Decimated,Approximate,Phone,3
Please speak clearly into the phone.,Clearly,/kl/,How should I speak?,Clearly,Nearly,Distinctly,Phone,2
I will text you the details.,Text,/t/,What will I do?,Text,Texted,Message,Phone,1
The battery is almost dead.,Battery,/b/,What is almost dead?,Battery,Flattery,Power,Phone,2
Could you repeat that please?,Repeat,/r/,What should I do?,Repeat,Competed,Say again,Phone,1
The ringtone is too loud.,Ringtone,/r/,What is too loud?,Ringtone,Ring tone,Sound,Phone,2
Call me when you get this.,Call,/k/,What should you do?,Call,Tall,Phone,Phone,1
The connection keeps breaking up.,Breaking,/br/,What keeps happening?,Breaking,Freaking,Cutting out,Phone,2
I sent you an email instead.,Email,/i/,What did I send?,Email,He mail,Message,Phone,1
The conference call starts at noon.,Conference,/k/,What starts at noon?,Conference,Preference,Meeting,Phone,2
Please enter your password now.,Password,/p/,What should I enter?,Password,Passed word,Code,Phone,2
The area code is three one four.,Area,/ɛ/,What is three one four?,Area,Era,Region code,Phone,2
I missed your call earlier.,Missed,/m/,What did I do?,Missed,Kissed,Didn't answer,Phone,1
The phone is charging now.,Charging,/ch/,What is the phone doing?,Charging,Marching,Powering,Phone,1
Can I put you on speaker?,Speaker,/sp/,What can I put you on?,Speaker,Sneaker,Loudspeaker,Phone,2
The notification just came through.,Notification,/n/,What came through?,Notification,Modification,Alert,Phone,3
Please dial the extension number.,Extension,/ɛ/,What should I dial?,Extension,Tension,Additional number,Phone,2
The operator will assist you.,Operator,/ɑ/,Who will assist you?,Operator,Elevator,Agent,Phone,2
Your application has been received.,Application,/æ/,What has been received?,Application,Implication,Form,Phone,3
I will forward the message.,Forward,/f/,What will I do?,Forward,Foreword,Send along,Phone,2
The line is disconnected.,Disconnected,/d/,What is the line?,Disconnected,Connected,Cut off,Phone,2
Please stay on the line.,Line,/l/,What should I stay on?,Line,Mine,Call,Phone,1
The meeting starts at three o'clock.,Meeting,/m/,When does it start?,Meeting,Greeting,Gathering,Social,1
Happy birthday to you.,Birthday,/b/,What is today?,Birthday,Earth day,Anniversary,Social,1
Congratulations on your promotion.,Promotion,/pr/,What happened?,Promotion,Emotion,Advancement,Social,2
Nice to meet you finally.,Meet,/m/,What is nice to do?,Meet,Meat,Greet,Social,1
How have you been lately?,Lately,/l/,How have you been?,Lately,Lady,Recently,Social,1
Thank you for your help.,Help,/h/,What do I thank you for?,Help,Yelp,Assistance,Social,1
Sorry I am running late.,Late,/l/,What am I running?,Late,Plate,Behind,Social,1
See you tomorrow morning.,Tomorrow,/t/,When will I see you?,Tomorrow,To morrow,Next day,Social,1
Have a wonderful weekend.,Weekend,/w/,Have a wonderful what?,Weekend,Weakened,Days off,Social,1
Welcome to the neighborhood.,Neighborhood,/n/,Welcome to what?,Neighborhood,Labor hood,Community,Social,2
It was lovely seeing you.,Lovely,/l/,How was seeing you?,Lovely,Glove Lee,Nice,Social,1
Please give my regards to your family.,Regards,/r/,What should I give?,Regards,Records,Greetings,Social,2
The weather is beautiful today.,Weather,/w/,What is beautiful?,Weather,Whether,Climate,Social,1
I hope you feel better soon.,Better,/b/,What do I hope?,Better,Butter,Improved,Social,1
Let me know if you need anything.,Anything,/ɛ/,What should you let me know?,Anything,Any thing,Something,Social,1
Take care of yourself.,Care,/k/,What should you take?,Care,Fair,Caution,Social,1
It has been too long since we talked.,Long,/l/,How long has it been?,Long,Song,Extended,Social,1
We should get together sometime.,Together,/t/,What should we do?,Together,To gather,Meet up,Social,2
Please accept my apology.,Apology,/ɑ/,What should you accept?,Apology,Astrology,Sorry,Social,2
I appreciate your kindness.,Kindness,/k/,What do I appreciate?,Kindness,Blindness,Generosity,Social,2
You look wonderful today.,Wonderful,/w/,How do I look?,Wonderful,One dreadful,Great,Social,1
Best wishes for the new year.,Wishes,/w/,What for the new year?,Wishes,Dishes,Hopes,Social,1
It is nice to finally meet you.,Finally,/f/,How is it nice?,Finally,Find Lee,At last,Social,2
Please join us for dinner.,Dinner,/d/,What should you join us for?,Dinner,Winner,Meal,Social,1
Safe travels on your trip.,Travels,/tr/,What should be safe?,Travels,Taverns,Journey,Social,2
I had a great time tonight.,Great,/gr/,What kind of time?,Great,Grate,Wonderful,Social,1
Thank you for the invitation.,Invitation,/ɪ/,Thank you for what?,Invitation,Innovation,Request,Social,2
Please come inside and sit down.,Inside,/ɪ/,Where should you come?,Inside,Incite,Indoors,Social,1
I really enjoyed our conversation.,Conversation,/k/,What did I enjoy?,Conversation,Conservation,Talk,Social,2
Let us plan something for next month.,Plan,/p/,What should we do?,Plan,Clan,Arrange,Social,2
Happy anniversary to both of you.,Anniversary,/æ/,What is today?,Anniversary,Adversary,Special day,Social,2
May I introduce my colleague.,Colleague,/k/,Who may I introduce?,Colleague,College,Coworker,Social,2
Your presentation was excellent.,Presentation,/pr/,What was excellent?,Presentation,Preservation,Speech,Social,3
Please have a seat.,Seat,/s/,What should you have?,Seat,Meet,Chair,Social,1
The project deadline is Friday.,Deadline,/d/,When is the deadline?,Deadline,Dead line,Due date,Work,2
Please submit your report by noon.,Submit,/s/,What should you do?,Submit,Admitted,Send,Work,2
The conference room is reserved.,Reserved,/r/,What is the conference room?,Reserved,Deserved,Booked,Work,2
I need your signature on this form.,Signature,/s/,What do I need?,Signature,Signatory,Autograph,Work,2
The meeting has been postponed.,Postponed,/p/,What happened to the meeting?,Postponed,Proposed,Delayed,Work,3
Please review the attached document.,Review,/r/,What should you do?,Review,Renew,Check,Work,2
The budget was approved yesterday.,Budget,/b/,What was approved?,Budget,Budge it,Finances,Work,2
I will be out of office next week.,Office,/ɑ/,Where will I be out of?,Office,Off ice,Work,Work,1
The training session is mandatory.,Training,/tr/,What kind of session?,Training,Raining,Learning,Work,2
Please forward this to the team.,Forward,/f/,What should you do?,Forward,Foreword,Send,Work,2
The supervisor approved the request.,Supervisor,/s/,Who approved it?,Supervisor,Super visor,Manager,Work,2
We need to schedule a follow up.,Schedule,/sk/,What do we need to do?,Schedule,Scheduled,Plan,Work,2
The contract expires in December.,Contract,/k/,What expires?,Contract,Contacted,Agreement,Work,3
Please complete the survey by Friday.,Survey,/s/,What should you complete?,Survey,Curvy,Questionnaire,Work,2
The performance review is next week.,Performance,/p/,What is next week?,Performance,Conformance,Evaluation,Work,3
I will send you the agenda shortly.,Agenda,/ɑ/,What will I send?,Agenda,Blender,Schedule,Work,2
The policy change takes effect Monday.,Policy,/p/,What takes effect?,Policy,Polished,Rule,Work,2
Please confirm your attendance.,Attendance,/ɑ/,What should you confirm?,Attendance,Attendants,Presence,Work,2
The proposal needs more detail.,Proposal,/pr/,What needs more detail?,Proposal,Disposal,Plan,Work,2
Our department is being restructured.,Restructured,/r/,What is happening?,Restructured,Instructured,Reorganized,Work,3
The equipment will be delivered tomorrow.,Equipment,/ɪ/,What will be delivered?,Equipment,Shipment,Machines,Work,2
Please log your hours daily.,Hours,/aʊ/,What should you log?,Hours,Ours,Time,Work,1
The system is down for maintenance.,Maintenance,/m/,What is the system down for?,Maintenance,Maintenance,Repairs,Work,3
I need authorization to proceed.,Authorization,/ɔ/,What do I need?,Authorization,Organization,Permission,Work,3
The quarterly report is due soon.,Quarterly,/kw/,What is due soon?,Quarterly,Orderly,Report,Work,3
Please update your contact information.,Contact,/k/,What should you update?,Contact,Contract,Info,Work,2
The printer is out of paper.,Printer,/pr/,What is out of paper?,Printer,Winter,Machine,Work,1
Your request has been processed.,Processed,/pr/,What has been done?,Processed,Professed,Handled,Work,2
The memo will be distributed today.,Memo,/m/,What will be distributed?,Memo,Demo,Note,Work,2
Please sign the acknowledgment form.,Acknowledgment,/æ/,What should you sign?,Acknowledgment,Agreement,Confirmation,Work,3
The interview is scheduled for Tuesday.,Interview,/ɪ/,What is scheduled?,Interview,Inner view,Meeting,Work,2
I need to reschedule our appointment.,Reschedule,/r/,What do I need to do?,Reschedule,Schedule,Change time,Work,2
The handbook explains the procedures.,Handbook,/h/,What explains procedures?,Handbook,Hand book,Manual,Work,2
Your feedback is valuable to us.,Feedback,/f/,What is valuable?,Feedback,Feed back,Response,Work,2
Please clock in when you arrive.,Clock,/k/,What should you do?,Clock,Block,Sign in,Work,1
The package was delivered this morning.,Package,/p/,What was delivered?,Package,Baggage,Parcel,Daily Life,1
Please lock the door when you leave.,Lock,/l/,What should you do?,Lock,Dock,Secure,Daily Life,1
The alarm goes off at seven.,Alarm,/ɑ/,What goes off?,Alarm,A larm,Clock,Daily Life,1
I need to do laundry tonight.,Laundry,/l/,What do I need to do?,Laundry,Launder,Washing,Daily Life,1
The refrigerator is making a noise.,Refrigerator,/r/,What is making noise?,Refrigerator,Radiator,Appliance,Daily Life,3
Please take out the garbage.,Garbage,/g/,What should I take out?,Garbage,Cabbage,Trash,Daily Life,1
The lawn needs to be mowed.,Lawn,/l/,What needs mowing?,Lawn,Dawn,Grass,Daily Life,2
I forgot my keys inside.,Keys,/k/,What did I forget?,Keys,Peas,Items,Daily Life,1
The sink is clogged again.,Clogged,/k/,What is the sink?,Clogged,Logged,Blocked,Daily Life,2
Please water the plants today.,Plants,/p/,What should I water?,Plants,Pants,Flowers,Daily Life,1
The light bulb needs replacing.,Bulb,/b/,What needs replacing?,Bulb,Bulk,Light,Daily Life,2
I set the thermostat to seventy.,Thermostat,/θ/,What did I set?,Thermostat,Thermometer,Temperature,Daily Life,3
The mailman comes at noon.,Mailman,/m/,Who comes at noon?,Mailman,Male man,Carrier,Daily Life,1
Please empty the dishwasher.,Dishwasher,/d/,What should I empty?,Dishwasher,Dish washer,Appliance,Daily Life,2
The batteries in the remote are dead.,Remote,/r/,What has dead batteries?,Remote,Promote,Control,Daily Life,2
I need to renew my license.,License,/l/,What do I need to renew?,License,Silence,Permit,Daily Life,2
The carpet should be vacuumed.,Carpet,/k/,What should be vacuumed?,Carpet,Carport,Rug,Daily Life,2
Please turn off the lights.,Lights,/l/,What should I turn off?,Lights,Sights,Lamps,Daily Life,1
The doorbell just rang.,Doorbell,/d/,What just rang?,Doorbell,Dumbbell,Chime,Daily Life,1
