word_1,word_2,contrast_category,phoneme_1_ipa,phoneme_2_ipa,contrast_position
"Want","Wand","Consonant Voicing","/t/","/d/","Final"
"Wet","Wed","Consonant Voicing","/t/","/d/","Final"
"White","Wide","Consonant Voicing","/t/","/d/","Final"
"Wrote","Road","Consonant Voicing","/t/","/d/","Final"
"Writer","Rider","Consonant Voicing","/t/","/d/","Medial"
"Matter","Madder","Consonant Voicing","/t/","/d/","Medial"
"Bitter","Bidder","Consonant Voicing","/t/","/d/","Medial"
"Later","Ladder","Consonant Voicing","/t/","/d/","Medial"
"Water","Wader","Consonant Voicing","/t/","/d/","Medial"
"Coating","Coding","Consonant Voicing","/t/","/d/","Medial"
"Seating","Seeding","Consonant Voicing","/t/","/d/","Medial"
"Waiting","Wading","Consonant Voicing","/t/","/d/","Medial"
"Heating","Heeding","Consonant Voicing","/t/","/d/","Medial"
"Potting","Podding","Consonant Voicing","/t/","/d/","Medial"
"Coat","Goat","Consonant Voicing","/k/","/g/","Initial"
"Came","Game","Consonant Voicing","/k/","/g/","Initial"
"Cap","Gap","Consonant Voicing","/k/","/g/","Initial"
"Cold","Gold","Consonant Voicing","/k/","/g/","Initial"
"Cut","Gut","Consonant Voicing","/k/","/g/","Initial"
"Class","Glass","Consonant Voicing","/k/","/g/","Initial"
"Cane","Gain","Consonant Voicing","/k/","/g/","Initial"
"Cave","Gave","Consonant Voicing","/k/","/g/","Initial"
"Curl","Girl","Consonant Voicing","/k/","/g/","Initial"
"Card","Guard","Consonant Voicing","/k/","/g/","Initial"
"Crow","Grow","Consonant Voicing","/k/","/g/","Initial"
"Crate","Grate","Consonant Voicing","/k/","/g/","Initial"
"Crime","Grime","Consonant Voicing","/k/","/g/","Initial"
"Call","Gall","Consonant Voicing","/k/","/g/","Initial"
"Coal","Goal","Consonant Voicing","/k/","/g/","Initial"
"Comb","Gome","Consonant Voicing","/k/","/g/","Initial"
"Core","Gore","Consonant Voicing","/k/","/g/","Initial"
"Crave","Grave","Consonant Voicing","/k/","/g/","Initial"
"Creep","Gleep","Consonant Voicing","/k/","/g/","Initial"
"Crude","Grewd","Consonant Voicing","/k/","/g/","Initial"
"Cull","Gull","Consonant Voicing","/k/","/g/","Initial"
"Back","Bag","Consonant Voicing","/k/","/g/","Final"
"Pick","Pig","Consonant Voicing","/k/","/g/","Final"
"Dock","Dog","Consonant Voicing","/k/","/g/","Final"
"Sack","Sag","Consonant Voicing","/k/","/g/","Final"
"Tack","Tag","Consonant Voicing","/k/","/g/","Final"
"Buck","Bug","Consonant Voicing","/k/","/g/","Final"
"Lack","Lag","Consonant Voicing","/k/","/g/","Final"
"Rack","Rag","Consonant Voicing","/k/","/g/","Final"
"Leak","League","Consonant Voicing","/k/","/g/","Final"
"Peck","Peg","Consonant Voicing","/k/","/g/","Final"
"Brick","Brig","Consonant Voicing","/k/","/g/","Final"
"Duck","Dug","Consonant Voicing","/k/","/g/","Final"
"Flack","Flag","Consonant Voicing","/k/","/g/","Final"
"Flock","Flog","Consonant Voicing","/k/","/g/","Final"
"Hack","Hag","Consonant Voicing","/k/","/g/","Final"
"Hock","Hog","Consonant Voicing","/k/","/g/","Final"
"Jock","Jog","Consonant Voicing","/k/","/g/","Final"
"Lock","Log","Consonant Voicing","/k/","/g/","Final"
"Luck","Lug","Consonant Voicing","/k/","/g/","Final"
"Muck","Mug","Consonant Voicing","/k/","/g/","Final"
"Pluck","Plug","Consonant Voicing","/k/","/g/","Final"
"Puck","Pug","Consonant Voicing","/k/","/g/","Final"
"Rick","Rig","Consonant Voicing","/k/","/g/","Final"
"Ruck","Rug","Consonant Voicing","/k/","/g/","Final"
"Shack","Shag","Consonant Voicing","/k/","/g/","Final"
"Slack","Slag","Consonant Voicing","/k/","/g/","Final"
"Snack","Snag","Consonant Voicing","/k/","/g/","Final"
"Stack","Stag","Consonant Voicing","/k/","/g/","Final"
"Truck","Trug","Consonant Voicing","/k/","/g/","Final"
"Tuck","Tug","Consonant Voicing","/k/","/g/","Final"
"Wick","Wig","Consonant Voicing","/k/","/g/","Final"
"Pucker","Pugger","Consonant Voicing","/k/","/g/","Medial"
"Locker","Logger","Consonant Voicing","/k/","/g/","Medial"
"Racket","Ragged","Consonant Voicing","/k/","/g/","Medial"
"Tackle","Taggle","Consonant Voicing","/k/","/g/","Medial"
"Sacking","Sagging","Consonant Voicing","/k/","/g/","Medial"
"Bicker","Bigger","Consonant Voicing","/k/","/g/","Medial"
"Fan","Van","Consonant Voicing","/f/","/v/","Initial"
"Fine","Vine","Consonant Voicing","/f/","/v/","Initial"
"Fast","Vast","Consonant Voicing","/f/","/v/","Initial"
"Few","View","Consonant Voicing","/f/","/v/","Initial"
"Fat","Vat","Consonant Voicing","/f/","/v/","Initial"
"Feel","Veal","Consonant Voicing","/f/","/v/","Initial"
"Ferry","Very","Consonant Voicing","/f/","/v/","Initial"
"Fender","Vendor","Consonant Voicing","/f/","/v/","Initial"
"File","Vile","Consonant Voicing","/f/","/v/","Initial"
"Focal","Vocal","Consonant Voicing","/f/","/v/","Initial"
"Foil","Voile","Consonant Voicing","/f/","/v/","Initial"
"Safe","Save","Consonant Voicing","/f/","/v/","Final"
"Leaf","Leave","Consonant Voicing","/f/","/v/","Final"
"Proof","Prove","Consonant Voicing","/f/","/v/","Final"
"Grief","Grieve","Consonant Voicing","/f/","/v/","Final"
"Half","Have","Consonant Voicing","/f/","/v/","Final"
"Life","Live","Consonant Voicing","/f/","/v/","Final"
"Strife","Strive","Consonant Voicing","/f/","/v/","Final"
"Belief","Believe","Consonant Voicing","/f/","/v/","Final"
"Thief","Thieve","Consonant Voicing","/f/","/v/","Final"
"Shelf","Shelve","Consonant Voicing","/f/","/v/","Final"
"Calf","Calve","Consonant Voicing","/f/","/v/","Final"
"Wife","Wive","Consonant Voicing","/f/","/v/","Final"
"Sip","Zip","Consonant Voicing","/s/","/z/","Initial"
"Sink","Zinc","Consonant Voicing","/s/","/z/","Initial"
"Sue","Zoo","Consonant Voicing","/s/","/z/","Initial"
"Seal","Zeal","Consonant Voicing","/s/","/z/","Initial"
"Sap","Zap","Consonant Voicing","/s/","/z/","Initial"
"Sing","Zing","Consonant Voicing","/s/","/z/","Initial"
"Sack","Zack","Consonant Voicing","/s/","/z/","Initial"
"Sane","Zane","Consonant Voicing","/s/","/z/","Initial"
"Bus","Buzz","Consonant Voicing","/s/","/z/","Final"
"Rice","Rise","Consonant Voicing","/s/","/z/","Final"
"Price","Prize","Consonant Voicing","/s/","/z/","Final"
"Face","Phase","Consonant Voicing","/s/","/z/","Final"
"Loose","Lose","Consonant Voicing","/s/","/z/","Final"
"Hiss","His","Consonant Voicing","/s/","/z/","Final"
"Peace","Peas","Consonant Voicing","/s/","/z/","Final"
"Ice","Eyes","Consonant Voicing","/s/","/z/","Final"
"Race","Raise","Consonant Voicing","/s/","/z/","Final"
"Mace","Maze","Consonant Voicing","/s/","/z/","Final"
"Lace","Lays","Consonant Voicing","/s/","/z/","Final"
"Fuss","Fuzz","Consonant Voicing","/s/","/z/","Final"
"Base","Baize","Consonant Voicing","/s/","/z/","Final"
"Brace","Braze","Consonant Voicing","/s/","/z/","Final"
"Cease","Seize","Consonant Voicing","/s/","/z/","Final"
"Dice","Dies","Consonant Voicing","/s/","/z/","Final"
"Dose","Doze","Consonant Voicing","/s/","/z/","Final"
"Fleece","Fleas","Consonant Voicing","/s/","/z/","Final"
"Grace","Graze","Consonant Voicing","/s/","/z/","Final"
"Lice","Lies","Consonant Voicing","/s/","/z/","Final"
"Niece","Knees","Consonant Voicing","/s/","/z/","Final"
"Noose","News","Consonant Voicing","/s/","/z/","Final"
"Nose","Knows","Consonant Voicing","/s/","/z/","Final"
"Pace","Pays","Consonant Voicing","/s/","/z/","Final"
"Pence","Pens","Consonant Voicing","/s/","/z/","Final"
"Place","Plays","Consonant Voicing","/s/","/z/","Final"
"Racer","Razer","Consonant Voicing","/s/","/z/","Medial"
"Fussy","Fuzzy","Consonant Voicing","/s/","/z/","Medial"
"Lacy","Lazy","Consonant Voicing","/s/","/z/","Medial"
"Muscle","Muzzle","Consonant Voicing","/s/","/z/","Medial"
"Chin","Gin","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Cheap","Jeep","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Choke","Joke","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Cheer","Jeer","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chest","Jest","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chain","Jane","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chug","Jug","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Char","Jar","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chew","Jew","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chill","Jill","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chip","Gyp","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Chunk","Junk","Consonant Voicing","/tʃ/","/dʒ/","Initial"
"Rich","Ridge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Batch","Badge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Search","Surge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Etch","Edge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"H","Age","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Catch","Cadge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Latch","Lodge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Match","Madge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Patch","Padge","Consonant Voicing","/tʃ/","/dʒ/","Final"
"Thigh","Thy","Consonant Voicing","/θ/","/ð/","Initial"
"Teeth","Teethe","Consonant Voicing","/θ/","/ð/","Final"
"Breath","Breathe","Consonant Voicing","/θ/","/ð/","Final"
"Sooth","Soothe","Consonant Voicing","/θ/","/ð/","Final"
"Bath","Bathe","Consonant Voicing","/θ/","/ð/","Final"
"Wreath","Wreathe","Consonant Voicing","/θ/","/ð/","Final"
"Ether","Either","Consonant Voicing","/θ/","/ð/","Medial"
"Key","Tea","Consonant Place of Articulation","/k/","/t/","Initial"
"Car","Tar","Consonant Place of Articulation","/k/","/t/","Initial"
"Call","Tall","Consonant Place of Articulation","/k/","/t/","Initial"
"Cake","Take","Consonant Place of Articulation","/k/","/t/","Initial"
"Cool","Tool","Consonant Place of Articulation","/k/","/t/","Initial"
"Corn","Torn","Consonant Place of Articulation","/k/","/t/","Initial"
"Cub","Tub","Consonant Place of Articulation","/k/","/t/","Initial"
"Coat","Tote","Consonant Place of Articulation","/k/","/t/","Initial"
"Cuff","Tough","Consonant Place of Articulation","/k/","/t/","Initial"
"Kind","Tined","Consonant Place of Articulation","/k/","/t/","Initial"
"Kite","Tight","Consonant Place of Articulation","/k/","/t/","Initial"
"Tape","Cape","Consonant Place of Articulation","/t/","/k/","Initial"
"Tin","Kin","Consonant Place of Articulation","/t/","/k/","Initial"
"Team","Keen","Consonant Place of Articulation","/t/","/k/","Initial"
"Talk","Chalk","Consonant Place of Articulation","/t/","/k/","Initial"
"Task","Cask","Consonant Place of Articulation","/t/","/k/","Initial"
"Tick","Kick","Consonant Place of Articulation","/t/","/k/","Initial"
"Tied","Cried","Consonant Place of Articulation","/t/","/k/","Initial"
"Time","Chime","Consonant Place of Articulation","/t/","/k/","Initial"
"Toad","Code","Consonant Place of Articulation","/t/","/k/","Initial"
"Told","Cold","Consonant Place of Articulation","/t/","/k/","Initial"
"Toll","Coal","Consonant Place of Articulation","/t/","/k/","Initial"
"Tone","Cone","Consonant Place of Articulation","/t/","/k/","Initial"
"Took","Cook","Consonant Place of Articulation","/t/","/k/","Initial"
"Top","Cop","Consonant Place of Articulation","/t/","/k/","Initial"
"Tore","Core","Consonant Place of Articulation","/t/","/k/","Initial"
"Tough","Cuff","Consonant Place of Articulation","/t/","/k/","Initial"
"Tow","Cow","Consonant Place of Articulation","/t/","/k/","Initial"
"Tower","Cower","Consonant Place of Articulation","/t/","/k/","Initial"
"Track","Crack","Consonant Place of Articulation","/t/","/k/","Initial"
"Train","Crane","Consonant Place of Articulation","/t/","/k/","Initial"
"Trap","Crap","Consonant Place of Articulation","/t/","/k/","Initial"
"Trash","Crash","Consonant Place of Articulation","/t/","/k/","Initial"
"Treat","Crete","Consonant Place of Articulation","/t/","/k/","Initial"
"True","Crew","Consonant Place of Articulation","/t/","/k/","Initial"
"Trust","Crust","Consonant Place of Articulation","/t/","/k/","Initial"
"Try","Cry","Consonant Place of Articulation","/t/","/k/","Initial"
"Tuck","Cuck","Consonant Place of Articulation","/t/","/k/","Initial"
"Turn","Kern","Consonant Place of Articulation","/t/","/k/","Initial"
"Two","Coo","Consonant Place of Articulation","/t/","/k/","Initial"
"Go","Dough","Consonant Place of Articulation","/g/","/d/","Initial"
"Gate","Date","Consonant Place of Articulation","/g/","/d/","Initial"
"Guy","Die","Consonant Place of Articulation","/g/","/d/","Initial"
"Gone","Dawn","Consonant Place of Articulation","/g/","/d/","Initial"
"Gown","Down","Consonant Place of Articulation","/g/","/d/","Initial"
"Gill","Dill","Consonant Place of Articulation","/g/","/d/","Initial"
"Guess","Dress","Consonant Place of Articulation","/g/","/d/","Initial"
"Gain","Dane","Consonant Place of Articulation","/g/","/d/","Initial"
"Gall","Doll","Consonant Place of Articulation","/g/","/d/","Initial"
"Game","Dame","Consonant Place of Articulation","/g/","/d/","Initial"
"Gash","Dash","Consonant Place of Articulation","/g/","/d/","Initial"
"Gaze","Daze","Consonant Place of Articulation","/g/","/d/","Initial"
"Gear","Deer","Consonant Place of Articulation","/g/","/d/","Initial"
"Goad","Doad","Consonant Place of Articulation","/g/","/d/","Initial"
"Goal","Dole","Consonant Place of Articulation","/g/","/d/","Initial"
"Gold","Dold","Consonant Place of Articulation","/g/","/d/","Initial"
"Gore","Door","Consonant Place of Articulation","/g/","/d/","Initial"
"Got","Dot","Consonant Place of Articulation","/g/","/d/","Initial"
"Grab","Drab","Consonant Place of Articulation","/g/","/d/","Initial"
"Grain","Drain","Consonant Place of Articulation","/g/","/d/","Initial"
"Grasp","Dasp","Consonant Place of Articulation","/g/","/d/","Initial"
"Grave","Drave","Consonant Place of Articulation","/g/","/d/","Initial"
"Gray","Dray","Consonant Place of Articulation","/g/","/d/","Initial"
"Greed","Dreed","Consonant Place of Articulation","/g/","/d/","Initial"
"Grew","Drew","Consonant Place of Articulation","/g/","/d/","Initial"
"Grill","Drill","Consonant Place of Articulation","/g/","/d/","Initial"
"Grip","Drip","Consonant Place of Articulation","/g/","/d/","Initial"
"Ground","Drowned","Consonant Place of Articulation","/g/","/d/","Initial"
"Grow","Dough","Consonant Place of Articulation","/g/","/d/","Initial"
"Gull","Dull","Consonant Place of Articulation","/g/","/d/","Initial"
"Gun","Dun","Consonant Place of Articulation","/g/","/d/","Initial"
"Gust","Dust","Consonant Place of Articulation","/g/","/d/","Initial"
"Big","Dig","Consonant Place of Articulation","/b/","/d/","Initial"
"Bad","Dad","Consonant Place of Articulation","/b/","/d/","Initial"
"Boat","Dote","Consonant Place of Articulation","/b/","/d/","Initial"
"Bear","Dare","Consonant Place of Articulation","/b/","/d/","Initial"
"Bait","Date","Consonant Place of Articulation","/b/","/d/","Initial"
"Ball","Doll","Consonant Place of Articulation","/b/","/d/","Initial"
"Beep","Deep","Consonant Place of Articulation","/b/","/d/","Initial"
"Buck","Duck","Consonant Place of Articulation","/b/","/d/","Initial"
"Ban","Dan","Consonant Place of Articulation","/b/","/d/","Initial"
"Bark","Dark","Consonant Place of Articulation","/b/","/d/","Initial"
"Bead","Deed","Consonant Place of Articulation","/b/","/d/","Initial"
"Bed","Dead","Consonant Place of Articulation","/b/","/d/","Initial"
"Bee","Dee","Consonant Place of Articulation","/b/","/d/","Initial"
"Bell","Dell","Consonant Place of Articulation","/b/","/d/","Initial"
"Bent","Dent","Consonant Place of Articulation","/b/","/d/","Initial"
"Bid","Did","Consonant Place of Articulation","/b/","/d/","Initial"
"Bike","Dike","Consonant Place of Articulation","/b/","/d/","Initial"
"Bill","Dill","Consonant Place of Articulation","/b/","/d/","Initial"
"Bind","Dined","Consonant Place of Articulation","/b/","/d/","Initial"
"Bird","Dird","Consonant Place of Articulation","/b/","/d/","Initial"
"Bite","Dite","Consonant Place of Articulation","/b/","/d/","Initial"
"Blaze","Daze","Consonant Place of Articulation","/b/","/d/","Initial"
"Bleed","Deed","Consonant Place of Articulation","/b/","/d/","Initial"
"Block","Dock","Consonant Place of Articulation","/b/","/d/","Initial"
"Blood","Dud","Consonant Place of Articulation","/b/","/d/","Initial"
"Bloom","Doom","Consonant Place of Articulation","/b/","/d/","Initial"
"Blow","Dough","Consonant Place of Articulation","/b/","/d/","Initial"
"Blue","Due","Consonant Place of Articulation","/b/","/d/","Initial"
"Board","Dord","Consonant Place of Articulation","/b/","/d/","Initial"
"Bog","Dog","Consonant Place of Articulation","/b/","/d/","Initial"
"Bold","Dold","Consonant Place of Articulation","/b/","/d/","Initial"
"Bond","Dond","Consonant Place of Articulation","/b/","/d/","Initial"
"Bone","Done","Consonant Place of Articulation","/b/","/d/","Initial"
"Bore","Door","Consonant Place of Articulation","/b/","/d/","Initial"
"Bought","Draught","Consonant Place of Articulation","/b/","/d/","Initial"
"Bound","Downed","Consonant Place of Articulation","/b/","/d/","Initial"
"Bow","Dough","Consonant Place of Articulation","/b/","/d/","Initial"
"Bowl","Dole","Consonant Place of Articulation","/b/","/d/","Initial"
"Brag","Drag","Consonant Place of Articulation","/b/","/d/","Initial"
"Brain","Drain","Consonant Place of Articulation","/b/","/d/","Initial"
"Brake","Drake","Consonant Place of Articulation","/b/","/d/","Initial"
"Bread","Dread","Consonant Place of Articulation","/b/","/d/","Initial"
"Brew","Drew","Consonant Place of Articulation","/b/","/d/","Initial"
"Brown","Drown","Consonant Place of Articulation","/b/","/d/","Initial"
"Bud","Dud","Consonant Place of Articulation","/b/","/d/","Initial"
"Bull","Dull","Consonant Place of Articulation","/b/","/d/","Initial"
"Bump","Dump","Consonant Place of Articulation","/b/","/d/","Initial"
"Bun","Dun","Consonant Place of Articulation","/b/","/d/","Initial"
"Bust","Dust","Consonant Place of Articulation","/b/","/d/","Initial"
"Buy","Die","Consonant Place of Articulation","/b/","/d/","Initial"
"See","She","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sip","Ship","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sign","Shine","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Seat","Sheet","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Save","Shave","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sock","Shock","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sell","Shell","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sore","Shore","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Self","Shelf","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sack","Shack","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Said","Shed","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sake","Shake","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Same","Shame","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sat","Shat","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Saw","Shaw","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Say","Shay","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Seep","Sheep","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Set","Shet","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sew","Show","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sick","Shick","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sigh","Shy","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Silk","Shilk","Consonant Place of Articulation","/s/","/ʃ/","Initial"
