Set,Sentence1,Sentence2
Set 19: Complex Sentences,...The weather report said it would be sunny and warm...,...The weather report said it would be funny and warm...
Set 19: Complex Sentences,...He thought the noise was coming from the room upstairs...,...He thought the choice was coming from the room upstairs...
Set 19: Complex Sentences,...She found her lost keys under the pillow on the couch...,...She found her lost keys over the pillow on the couch...
Set 20: Abstract Concepts,...He felt a sense of peace...,...He felt a sense of peas...
Set 20: Abstract Concepts,...She had a brilliant idea...,...She had a brilliant idol...
Set 20: Abstract Concepts,...They showed great courage...,...They showed great carriage...
Set 20: Abstract Concepts,...It was a moment of pure joy...,...It was a moment of poor joy...
Set 20: Abstract Concepts,...He has a lot of ambition...,...He has a lot of ammunition...
Set 20: Abstract Concepts,...She values her freedom...,...She values her free dome...
Set 20: Abstract Concepts,...The story had a deep meaning...,...The story had a cheap meaning...
Set 20: Abstract Concepts,...He showed great wisdom...,...He showed great width...
Set 20: Abstract Concepts,...That is a common belief...,...That is a common relief...
Set 20: Abstract Concepts,...She has a strong sense of justice...,...She has a strong sense of just this...
