scenario_id,environment_type,difficulty_tier,context_primer,speaker_a_config,speaker_b_config,dialogue_script,smart_question_data,background_noise_prompt
social_dinner_party_overlap_03,Social,3,"You are at a dinner party and two people nearby are discussing renovations. Voices are similar.",Male_High,Male_Deep,"A: So I told the contractor that the estimate was way too high. / B: (Overlapping A) Absolutely. We had the same issue with our kitchen. Did you end up going with the quartz? / A: We're leaning towards quartz, but the backsplash is the real issue. We can't decide on tile or a solid slab. / B: We went with the subway tile and it looks great, much cheaper too.","{""question_text"": ""What material are they discussing for the countertops?"", ""correct_answer"": ""Quartz"", ""acoustic_foil"": ""Corks"", ""semantic_foil"": ""Tile""}","Lively dinner party atmosphere, multiple conversations happening simultaneously (6-8 talker babble), laughter, clinking glasses, loud jazz music playing."
medical_test_results_noise_03,Medical,3,"A doctor is quickly explaining test results over a noisy hospital connection.",Male_Deep,Male_High,"A: Mr. Miller? This is Dr. Evans. I have your blood work results. / B: Oh, hello doctor. Is everything alright? / A: (Slight static) Mostly yes. Your cholesterol is slightly elevated at 210, so we need to watch your diet. However, your thyroid levels are normal. I want to recheck the cholesterol in three months. / B: Okay, 210. Three months. Got it.","{""question_text"": ""Which level was slightly elevated?"", ""correct_answer"": ""Cholesterol"", ""acoustic_foil"": ""Testosterone"", ""semantic_foil"": ""Thyroid""}","Hospital cafeteria background noise, clattering trays, loud PA system announcements, medical equipment beeping, static on the phone line."
transit_airport_gate_change_03,Transit,3,"You are in a busy airport terminal listening for a gate change among other announcements.",Female_High,N/A,"A: (Slight echo) Attention passengers on flight 582 to Chicago O'Hare. There has been a gate change. Your new departure gate is Bravo 19. That's B-19. Boarding will begin in 10 minutes at gate B-19.","{""question_text"": ""What is the new gate number for the flight to Chicago?"", ""correct_answer"": ""B-19 (Bravo 19)"", ""acoustic_foil"": ""D-19 (Delta 19)"", ""semantic_foil"": ""582""}","Large airport terminal, high reverberation, rolling suitcases, loud crowd babble, overlapping competing PA announcements from other gates."
pharmacy_consult_overlap_03,Medical,3,"You are consulting with a pharmacist while another technician interrupts. (Requires 3 speakers: A=Pharmacist, B=You, C=Tech)",Male_Deep,Female_High,"A: For the Metformin, take it twice daily with food. / B: With food? Should I take it if I skip breakfast... / C (Male_High): (Interrupting A) Sorry, Mrs. Davis needs an override on the register. / A: (To C) One moment. (To B) Yes, always take it with a meal. If you skip breakfast, take it at lunch. Do not take it on an empty stomach.","{""question_text"": ""When should the medication be taken?"", ""correct_answer"": ""With a meal (not on an empty stomach)"", ""acoustic_foil"": ""Only with breakfast"", ""semantic_foil"": ""Twice daily, regardless of food""}","Very busy pharmacy, multiple overlapping conversations, loud phone ringing, squeaky shopping cart wheels, constant scanner beeps."
social_party_identical_voice_03,Social,3,"You are at a cocktail party and two people with nearly identical voices are discussing a movie.",Male_High,Male_High,"A: I finally saw that new historical drama last night. / B: Oh yeah? I heard the costumes were amazing but the pacing was slow. / A: (Slight overlap) The pacing was slow, but the acting saved it. The lead actor carried the whole thing. / B: Interesting. I might wait until it's streaming. I prefer the action films.","{""question_text"": ""What aspect of the movie did the first speaker think saved it?"", ""correct_answer"": ""The acting"", ""acoustic_foil"": ""The casting"", ""semantic_foil"": ""The costumes""}","Loud cocktail party ambiance, significant multi-talker babble (6-8 speakers), laughter, clinking glasses, upbeat jazz music. Low SNR."

scenario_id,environment_type,difficulty_tier,context_primer,speaker_a_config,speaker_b_config,dialogue_script,smart_question_data,background_noise_prompt
retail_grocery_checkout_01,Retail,1,"You are at the checkout counter of a supermarket.",Female_High,Male_Deep,"A: Did you find everything okay today? / B: Yes, thank you. I have a coupon for the cereal. / A: Okay, let me scan that. Your total comes to $52.15. / B: $52.15? I thought the orange juice was on sale. / A: Let me check. You're right, it didn't ring up correctly. The adjusted total is $49.65.","{""question_text"": ""What was the final, adjusted total?"", ""correct_answer"": ""$49.65"", ""acoustic_foil"": ""$45.65"", ""semantic_foil"": ""$52.15""}","Grocery store ambiance, constant scanner beeping, rattling shopping carts, distant PA announcements, background chatter."
cafe_bakery_order_01,Cafe,1,"You are ordering pastries at a local bakery.",Male_Deep,Female_High,"A: Good morning. What can I get for you today? / B: Hi, I'm deciding between the almond croissant and the chocolate muffin. Which is fresher? / A: The croissants just came out of the oven 15 minutes ago. The muffins are from this morning. / B: I'll take the croissant then. And a small coffee.","{""question_text"": ""Which pastry did the customer purchase?"", ""correct_answer"": ""Almond croissant"", ""acoustic_foil"": ""Almond biscotti"", ""semantic_foil"": ""Chocolate muffin""}","Quiet bakery atmosphere, soft jazz music, occasional clinking of ceramic plates, humming refrigeration unit, espresso machine sounds."
medical_checkin_copay_01,Medical,1,"You are checking in at the reception desk for a doctor's appointment.",Female_Deep,Male_High,"A: Hi, I'm checking in for my 2 PM appointment with Dr. Evans. Name is Robert Smith. / B: Hello Mr. Smith. Can I confirm your address? / A: 123 Maple Street. / B: Thank you. Everything looks up to date. Your co-pay today will be $35. / A: Okay, here is my card.","{""question_text"": ""What is the patient's co-pay for the visit?"", ""correct_answer"": ""$35"", ""acoustic_foil"": ""$45"", ""semantic_foil"": ""$2""}","Doctor's office waiting room, quiet atmosphere, phone ringing softly, pages turning in a magazine, distant muffled medical conversations."
transit_taxi_destination_01,Transit,1,"You are getting into a taxi in the city.",Male_Deep,Female_High,"A: Afternoon. Where can I take you? / B: I need to go to the art museum, the main entrance on 7th avenue, please. / A: 7th avenue entrance, got it. Should take about 20 minutes with this traffic. / B: Great, thank you.","{""question_text"": ""How long is the trip expected to take?"", ""correct_answer"": ""20 minutes"", ""acoustic_foil"": ""12 minutes"", ""semantic_foil"": ""7 minutes""}","Inside a moving car, engine rumble, traffic noise (horns, sirens), GPS voice navigation occasionally audible, muffled radio."
social_neighbor_plans_01,Social,1,"You run into your neighbor while walking your dog.",Male_High,Female_Deep,"A: Hey Sarah, how are you? That's a cute new collar on Buster. / B: Thanks, Tom. We're doing well. Are you still planning on going to the community meeting tonight? / A: Yes, I am. It starts at 7 PM, right? / B: Exactly. I'll see you there. I heard they are discussing the new park proposal.","{""question_text"": ""What time does the community meeting start?"", ""correct_answer"": ""7 PM"", ""acoustic_foil"": ""11 PM"", ""semantic_foil"": ""Tonight""}","Suburban street ambiance, distant lawn mower, dogs barking, birds chirping, light wind."
retail_hardware_store_item_02,Retail,2,"You are asking for help finding an item in a large hardware store.",Male_Deep,Female_High,"A: Excuse me, where can I find the 3/8th inch wood screws? / B: Wood screws are in Aisle 12, about halfway down on the right side. They are in the blue boxes. / A: Aisle 12, blue boxes. And what about sandpaper? / B: Sandpaper is in Aisle 5, near the paint section.","{""question_text"": ""Which aisle are the wood screws located in?"", ""correct_answer"": ""Aisle 12"", ""acoustic_foil"": ""Aisle 20"", ""semantic_foil"": ""Aisle 5""}","Large warehouse-style hardware store, rattling carts on concrete, echoing PA announcements, distant sounds of wood being cut, forklifts beeping."
medical_vet_instructions_02,Medical,2,"The veterinarian is giving you discharge instructions after your pet's procedure.",Female_High,Male_Deep,"A: Okay, so Bella is good to go home. She might be drowsy for the next eight hours. / B: Eight hours. Okay. What about her medication? / A: Give her one capsule twice a day, starting tomorrow morning. Make sure she finishes the whole course. No running or jumping for 10 days. / B: Got it. Rest for 10 days.","{""question_text"": ""How long should the pet avoid running or jumping?"", ""correct_answer"": ""10 days"", ""acoustic_foil"": ""8 days"", ""semantic_foil"": ""Twice a day""}","Veterinary clinic lobby, dogs barking intermittently, cats meowing, phones ringing, sound of metal cages closing."
transit_subway_directions_02,Transit,2,"You are asking a transit worker for directions on a subway platform.",Male_High,Female_Deep,"A: Excuse me, does this train go to the Financial District? / B: This side is going uptown towards the Bronx. You need the downtown train on the opposite platform. / A: Okay, so I need to cross over. Which line should I take? / B: You want the 4 or 5 train downtown.","{""question_text"": ""Which direction is the train on the current platform heading?"", ""correct_answer"": ""Uptown (towards the Bronx)"", ""acoustic_foil"": ""Downtown"", ""semantic_foil"": ""Financial District""}","Subway platform, train screeching arrival/departure, reverberant environment, crowd murmur, distant PA announcements."
cafe_drive_thru_correction_02,Cafe,2,"You are correcting your order at a fast-food drive-thru speaker.",Female_High,Male_High,"A: (Slight static) Okay, so that's a cheeseburger, large fries, and a medium Sprite. Anything else? / B: Actually, I wanted a Diet Coke, not a Sprite. / A: Changing the Sprite to a Diet Coke. Got it. Your total is $10.55 at the first window. / B: Thank you.","{""question_text"": ""What was the final drink requested by the customer?"", ""correct_answer"": ""Diet Coke"", ""acoustic_foil"": ""Iced Coke"", ""semantic_foil"": ""Sprite""}","Drive-thru environment, car engine idling noise, traffic sounds, distorted audio from the speaker system, wind noise."
social_work_meeting_deadline_02,Social,2,"You are in a noisy open office discussing a project deadline.",Male_Deep,Female_High,"A: For the upcoming presentation, we need to have the slides ready by next Tuesday. / B: Tuesday the 10th? That's tight. Who is handling the data analysis? / A: James is handling the data. He promised the initial figures by Thursday afternoon. / B: Okay, Thursday for figures, Tuesday for slides. Got it.","{""question_text"": ""When are the initial figures promised by?"", ""correct_answer"": ""Thursday afternoon"", ""acoustic_foil"": ""Tuesday afternoon"", ""semantic_foil"": ""Next Tuesday""}","Open office environment, keyboard typing sounds, multiple distant conversations, printer noise, HVAC system humming loudly."
social_bar_stream_segregation_03,Social,3,"You are at a crowded bar trying to listen to two friends talking. (3 Speakers: A, B, C)",Male_Deep,Male_High,"A: I'm thinking about taking that job offer in Seattle. The salary is much better. / B: Seattle? That's a big move. What does your wife think? / C (Female_High): (Overlapping B slightly) Hey guys, the game just started! The score is 7-0 already. / A: (To C) Wow, already? (To B) She's excited about the move, but worried about the rain.","{""question_text"": ""What is the first speaker (A) worried about regarding the move?"", ""correct_answer"": ""His wife is worried about the rain"", ""acoustic_foil"": ""His wife is worried about the game"", ""semantic_foil"": ""The salary is better""}","Crowded sports bar, loud cheering and shouting, multiple televisions broadcasting games (overlapping commentary), loud rock music."
medical_postop_instructions_noise_03,Medical,3,"A nurse is quickly giving discharge instructions in a busy hospital recovery area. Voices are similar.",Female_High,Female_High,"A: Okay Ms. Davis, we are sending you home. You need to take the antibiotic every twelve hours. Finish the bottle. / B: Every twelve hours. Okay. / A: (Speaking quickly over noise) Keep the bandage dry for 72 hours. No heavy lifting for three weeks. And you cannot drive for 48 hours. / B: Wait, how long until I can drive? / A: 48 hours minimum.","{""question_text"": ""How long must the patient keep the bandage dry?"", ""correct_answer"": ""72 hours"", ""acoustic_foil"": ""42 hours"", ""semantic_foil"": ""48 hours""}","Hospital recovery bay, multiple vital sign monitors beeping intermittently, curtains sliding, medical staff conversations, sound of rolling equipment carts, loud PA announcements."
transit_airport_gate_overlap_03,Transit,3,"You are in a busy airport terminal with overlapping announcements. (A=Your Gate, B=Nearby Gate)",Female_High,Male_Deep,"A: Attention passengers on flight 480 to Denver. We are now beginning pre-boarding at Gate C5. / B: (Starting while A is speaking) Flight 112 to Miami is delayed by 30 minutes. New departure time is 3:00 PM. / A: (Overlapping B) Please have your boarding pass and ID ready for flight 480.","{""question_text"": ""Which flight is currently pre-boarding?"", ""correct_answer"": ""Flight 480 to Denver"", ""acoustic_foil"": ""Flight 482 to Denver"", ""semantic_foil"": ""Flight 112 to Miami""}","Large airport terminal, high reverberation, rolling suitcases, loud crowd babble, competing PA announcements, sound of electric carts moving."
cafe_allergy_alert_loud_03,Cafe,3,"You are discussing food allergies with a server in a very loud restaurant. Voices are similar.",Male_High,Male_High,"A: I'm interested in the seafood stew, but I have a severe shellfish allergy. Is there shrimp in it? / B: (Shouting over noise) Let me confirm with the chef. It’s very important. / A: Thank you. Shrimp and lobster are both problems. / B: (Returning) The chef confirmed the stew base is made with fish stock only. No shrimp or lobster. / A: Excellent. I'll have that.","{""question_text"": ""What type of stock is the stew base made with?"", ""correct_answer"": ""Fish stock"", ""acoustic_foil"": ""Beef stock"", ""semantic_foil"": ""Shellfish stock""}","Very loud restaurant environment, significant multi-talker babble, loud music, kitchen noise (clanging, shouting orders), clinking glasses."
social_phone_call_bad_connection_03,Social,3,"You are trying to confirm plans over a phone with a bad connection while in transit.",Male_Deep,Female_Deep,"A: (Loud static and cutout) Hey, are we still meeting at the... (static)... cafe tonight? / B: Yes! Which cafe? It cut out. / A: The one on Elm street. The Blue Bottle Cafe. / B: Okay, Blue Bottle. What time? I was thinking 6:30 PM. / A: (Static) ...thirty is perfect. See you then.","{""question_text"": ""What time did they agree to meet?"", ""correct_answer"": ""6:30 PM"", ""acoustic_foil"": ""7:30 PM"", ""semantic_foil"": ""Tonight""}","Significant phone static, audio dropouts, background noise from the caller's end (traffic, wind), muffled sound quality."
