sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
"I am waiting for the bus.","Bus",/b/,"What am I waiting for?","Bus","Us","Ride","Daily Life",1
"She has long brown hair.","Hair",/h/,"What is long and brown?","Hair","Chair","Coat","Social",2
"The leaves fall in autumn.","Leaves",/l/,"What falls in autumn?","Leaves","Sleeves","Trees","Outdoors",2
"He is riding his bike.","Bike",/b/,"What is he riding?","Bike","Hike","Cycle","Outdoors",1
"I need to wash the dishes.","Dishes",/d/,"What do I need to wash?","Dishes","Wishes","Pots","Daily Life",1
"The ocean waves are big.","Ocean",/oʊ/,"Where are the waves big?","Ocean","Motion","Sea","Outdoors",3
"She is typing on the keyboard.","Keyboard",/k/,"What is she typing on?","Keyboard","Leopard","Computer","Daily Life",2
"We saw a deer in the woods.","Deer",/d/,"What did we see in the woods?","Deer","Beer","Animal","Outdoors",3
"He is drinking orange juice.","Juice",/dʒ/,"What is he drinking?","Juice","Goose","Soda","Dining",2
"The baby has a new toy.","Toy",/t/,"What does the baby have?","Toy","Boy","Rattle","Daily Life",1
"I need to buy a stamp.","Stamp",/st/,"What do I need to buy?","Stamp","Lamp","Mail","Daily Life",3
"The movie made her cry.","Cry",/kr/,"What did the movie make her do?","Cry","Fry","Sad","Social",3
"He put the book on the shelf.","Shelf",/ʃ/,"Where did he put the book?","Shelf","Self","Table","Daily Life",2
"The garden needs water.","Garden",/g/,"What needs water?","Garden","Harden","Plants","Outdoors",2
"She is looking for her purse.","Purse",/p/,"What is she looking for?","Purse","Nurse","Bag","Daily Life",3
"The road is very slippery.","Road",/r/,"What is very slippery?","Road","Load","Street","Outdoors",3
"He is eating soup with a spoon.","Spoon",/sp/,"What is he eating soup with?","Spoon","Moon","Fork","Dining",1
"The pencil is sharp.","Sharp",/ʃ/,"How is the pencil?","Sharp","Carp","Pointy","Daily Life",3
"We need to clean the floor.","Floor",/fl/,"What do we need to clean?","Floor","Door","Room","Daily Life",1
"The mountains are covered in snow.","Mountains",/m/,"What is covered in snow?","Mountains","Fountains","Hills","Outdoors",3
"She is wearing red lipstick.","Red",/r/,"What color is the lipstick?","Red","Bed","Pink","Social",3
"He ordered a slice of pizza.","Pizza",/p/,"What did he order a slice of?","Pizza","Pita","Pie","Dining",2
"The library is very quiet.","Quiet",/kw/,"How is the library?","Quiet","Diet","Silent","Daily Life",2
"I am allergic to peanuts.","Peanuts",/p/,"What am I allergic to?","Peanuts","Donuts","Nuts","Dining",4
"The bridge is closed for repairs.","Bridge",/br/,"What is closed for repairs?","Bridge","Fridge","Road","Outdoors",3
"She sent a text message.","Text",/t/,"What did she send?","Text","Next","Email","Daily Life",2
"He is planting a tree.","Tree",/tr/,"What is he planting?","Tree","Free","Bush","Outdoors",2
"The child is afraid of the dark.","Dark",/d/,"What is the child afraid of?","Dark","Bark","Night","Daily Life",2
"We are having a barbecue.","Barbecue",/b/,"What are we having?","Barbecue","Barber","Party","Social",3
"She bought a ticket for the concert.","Ticket",/t/,"What did she buy?","Ticket","Thicket","Pass","Social",3
"The mirror is broken.","Mirror",/m/,"What is broken?","Mirror","Nearer","Glass","Daily Life",4
"He likes to play golf.","Golf",/g/,"What does he like to play?","Golf","Wolf","Tennis","Outdoors",4
"The salad needs more dressing.","Salad",/s/,"What needs more dressing?","Salad","Ballad","Food","Dining",3
"The boat sailed across the lake.","Boat",/b/,"What sailed across the lake?","Boat","Goat","Ship","Outdoors",2
"I have a headache.","Headache",/h/,"What do I have?","Headache","Backache","Pain","Daily Life",4
"She is listening to the radio.","Radio",/r/,"What is she listening to?","Radio","Patio","Music","Daily Life",2
"The bath is ready now.","Bath",/b/,"What is ready now?","Bath","Path","Water","Daily Life",2
"We need to book a flight soon.","Flight",/f/,"What do we need to book soon?","Flight","Light","Trip","Daily Life",3
"Please turn off the light.","Light",/l/,"What should I turn off?","Light","Right","Lamp","Daily Life",1
"I am looking for my shoes.","Shoes",/ʃ/,"What am I looking for?","Shoes","Choose","Boots","Daily Life",1
"The cat caught a mouse.","Mouse",/m/,"What did the cat catch?","Mouse","House","Rat","Daily Life",2
"He is drinking a glass of milk.","Glass",/g/,"What is he drinking from?","Glass","Class","Cup","Dining",1
"The car needs gas.","Gas",/g/,"What does the car need?","Gas","Pass","Fuel","Daily Life",1
"She is writing a letter.","Letter",/l/,"What is she writing?","Letter","Better","Note","Daily Life",2
"We ate dinner at a restaurant.","Restaurant",/r/,"Where did we eat dinner?","Restaurant","Restraint","Cafe","Dining",2
"The sky is clear today.","Clear",/kl/,"How is the sky today?","Clear","Near","Blue","Outdoors",1
"He is brushing his teeth.","Teeth",/t/,"What is he brushing?","Teeth","Wreath","Mouth","Daily Life",1
"The flowers are beautiful.","Flowers",/fl/,"What is beautiful?","Flowers","Towers","Garden","Outdoors",2
"I need to buy some soap.","Soap",/s/,"What do I need to buy?","Soap","Rope","Shampoo","Daily Life",2
"She is wearing a warm scarf.","Scarf",/sk/,"What is she wearing?","Scarf","Barf","Wrap","Daily Life",3
"The meeting was very long.","Long",/l/,"How was the meeting?","Long","Wrong","Boring","Social",2
"He is cooking eggs in a pan.","Pan",/p/,"What is he cooking eggs in?","Pan","Man","Pot","Dining",1
"The child is playing with a ball.","Ball",/b/,"What is the child playing with?","Ball","Wall","Toy","Daily Life",1
"I have to go to the bank.","Bank",/b/,"Where do I have to go?","Bank","Tank","Store","Daily Life",2
"She put sugar in her coffee.","Sugar",/ʃ/,"What did she put in her coffee?","Sugar","Bigger","Cream","Dining",1
"The rain stopped an hour ago.","Stopped",/st/,"What did the rain do?","Stopped","Hopped","Ended","Outdoors",2
"He is sitting on the bench.","Bench",/b/,"What is he sitting on?","Bench","Wrench","Seat","Outdoors",2
"I lost my favorite pen.","Pen",/p/,"What did I lose?","Pen","Hen","Pencil","Daily Life",1
"The bread is in the oven.","Oven",/ʌ/,"Where is the bread?","Oven","Coven","Toaster","Dining",2
"We need to buy a new rug.","Rug",/r/,"What do we need to buy?","Rug","Mug","Carpet","Daily Life",3
"He is wearing boots because it's cold.","Boots",/b/,"What is he wearing?","Boots","Roots","Shoes","Outdoors",2
"The soup is too salty.","Salty",/s/,"How is the soup?","Salty","Faulty","Spicy","Dining",3
"I am learning a new language.","Language",/l/,"What am I learning?","Language","Baggage","Skill","Social",4
"The dog is chasing the cat.","Chasing",/tʃ/,"What is the dog doing?","Chasing","Pacing","Running","Daily Life",2
"She is planting flowers in the garden.","Planting",/pl/,"What is she doing in the garden?","Planting","Chanting","Gardening","Outdoors",2
"He is reading the newspaper.","Newspaper",/n/,"What is he reading?","Newspaper","Used paper","Article","Daily Life",1
"The wind is blowing the leaves.","Leaves",/l/,"What is the wind blowing?","Leaves","Sleeves","Trees","Outdoors",2
"I need to call my mother.","Mother",/m/,"Who do I need to call?","Mother","Brother","Friend","Daily Life",1
"The cheese is very strong.","Cheese",/tʃ/,"What is very strong?","Cheese","Sneeze","Smell","Dining",3
"He is working on his computer.","Computer",/k/,"What is he working on?","Computer","Commuter","Laptop","Daily Life",1
"The baby is drinking from a bottle.","Bottle",/b/,"What is the baby drinking from?","Bottle","Wattle","Cup","Daily Life",1
"She is going to the gym.","Gym",/dʒ/,"Where is she going?","Gym","Him","Workout","Daily Life",2
"The car is parked in the garage.","Garage",/g/,"Where is the car parked?","Garage","Barrage","Driveway","Daily Life",2
"I need to buy a gift for my friend.","Gift",/g/,"What do I need to buy?","Gift","Lift","Present","Social",2
"The water is boiling on the stove.","Boiling",/b/,"What is the water doing?","Boiling","Toiling","Heating","Dining",2
"He is wearing a suit and tie.","Suit",/s/,"What is he wearing?","Suit","Boot","Clothes","Social",2
"The bird built a nest.","Nest",/n/,"What did the bird build?","Nest","Best","Home","Outdoors",2
"She is looking for her glasses.","Glasses",/g/,"What is she looking for?","Glasses","Masses","Eyes","Daily Life",2
"The cake tastes delicious.","Cake",/k/,"What tastes delicious?","Cake","Rake","Food","Dining",1
"I am going to the beach this weekend.","Beach",/b/,"Where am I going this weekend?","Beach","Peach","Ocean","Outdoors",2
"He is painting the fence white.","Fence",/f/,"What is he painting?","Fence","Dense","Wall","Outdoors",3
"The phone battery is low.","Battery",/b/,"What is low?","Battery","Flattery","Charge","Daily Life",3
"She is wearing a necklace.","Necklace",/n/,"What is she wearing?","Necklace","Reckless","Jewelry","Social",3
"The traffic is very bad today.","Traffic",/tr/,"What is very bad today?","Traffic","Graphic","Roads","Daily Life",2
"I need to take my medicine.","Medicine",/m/,"What do I need to take?","Medicine","Edison","Pills","Daily Life",3
"He is watching a soccer game.","Soccer",/s/,"What game is he watching?","Soccer","Shocker","Sports","Social",3
"The child is drawing a picture.","Drawing",/dr/,"What is the child doing?","Drawing","Gnawing","Art","Daily Life",2
"She is cleaning the windows.","Windows",/w/,"What is she cleaning?","Windows","Minnows","Glass","Daily Life",2
"The airplane landed safely.","Landed",/l/,"What did the airplane do?","Landed","Branded","Arrived","Outdoors",2
"I need to buy some stamps.","Stamps",/st/,"What do I need to buy?","Stamps","Lamps","Mail","Daily Life",3
"The fire is burning in the fireplace.","Fireplace",/f/,"Where is the fire burning?","Fireplace","Dire space","Hearth","Daily Life",2
"He is taking a shower.","Shower",/ʃ/,"What is he taking?","Shower","Power","Bath","Daily Life",2
"The keys are on the table.","Table",/t/,"Where are the keys?","Table","Cable","Desk","Daily Life",1
"She is looking at the moon.","Moon",/m/,"What is she looking at?","Moon","Spoon","Sky","Outdoors",2
"The doctor gave me a prescription.","Prescription",/pr/,"What did the doctor give me?","Prescription","Description","Medicine","Daily Life",4
"I am reading a book about history.","History",/h/,"What is the book about?","History","Mystery","Facts","Daily Life",4
"The cat is sleeping on the chair.","Chair",/tʃ/,"Where is the cat sleeping?","Chair","Hair","Seat","Daily Life",1
"He is eating an apple.","Apple",/æ/,"What is he eating?","Apple","Grapple","Fruit","Dining",1
"The children are swimming in the pool.","Pool",/p/,"Where are the children swimming?","Pool","Cool","Water","Outdoors",2
"She is wearing a red coat.","Red",/r/,"What color is her coat?","Red","Bed","Warm","Daily Life",2
"I need to wash my hair.","Hair",/h/,"What do I need to wash?","Hair","Chair","Head","Daily Life",1
"The train arrived on time.","Time",/t/,"When did the train arrive?","Time","Lime","Schedule","Daily Life",2
"He is drinking a cup of tea.","Cup",/k/,"What is he drinking from?","Cup","Pup","Mug","Dining",1
"The music is very relaxing.","Relaxing",/r/,"How is the music?","Relaxing","Taxing","Calm","Social",3
"She is looking for a parking spot.","Spot",/sp/,"What is she looking for?","Spot","Pot","Space","Daily Life",3
"The dog is barking at the squirrel.","Squirrel",/skw/,"What is the dog barking at?","Squirrel","Twirl","Animal","Outdoors",4
"I need to buy some milk.","Milk",/m/,"What do I need to buy?","Milk","Silk","Groceries","Daily Life",1
"The sun is shining brightly.","Shining",/ʃ/,"What is the sun doing?","Shining","Dining","Bright","Outdoors",1
"He is wearing a watch on his wrist.","Watch",/w/,"What is he wearing on his wrist?","Watch","Swatch","Timepiece","Daily Life",3
"The coffee shop is closed.","Closed",/kl/,"What is the status of the coffee shop?","Closed","Posed","Shut","Dining",2
"She is taking a picture with her camera.","Camera",/k/,"What is she using to take a picture?","Camera","Hammer","Device","Social",2
"The wind is blowing the leaves off the trees.","Blowing",/bl/,"What is the wind doing?","Blowing","Glowing","Moving","Outdoors",2
"I have a meeting at two o'clock.","Two",/t/,"When is the meeting?","Two","Shoe","Time","Daily Life",2
"He is cutting the grass in the yard.","Grass",/gr/,"What is he cutting?","Grass","Class","Lawn","Outdoors",2
"The baby is crying because he is hungry.","Crying",/kr/,"What is the baby doing?","Crying","Trying","Sad","Daily Life",2
"She is wearing a beautiful dress.","Dress",/dr/,"What is she wearing?","Dress","Stress","Clothes","Social",2
"The water is leaking from the pipe.","Leaking",/l/,"What is the water doing?","Leaking","Peeking","Dripping","Daily Life",3
"I need to buy some bread and butter.","Bread",/br/,"What do I need to buy besides butter?","Bread","Thread","Food","Dining",2
"The bird is flying in the sky.","Flying",/fl/,"What is the bird doing?","Flying","Crying","Soaring","Outdoors",2
"He is cooking dinner in the kitchen.","Kitchen",/k/,"Where is he cooking dinner?","Kitchen","Chicken","Room","Dining",1
"The car is very dirty and needs a wash.","Dirty",/d/,"How is the car?","Dirty","Thirty","Unclean","Daily Life",3
"She is playing the piano.","Piano",/p/,"What is she playing?","Piano","Banjo","Instrument","Social",3
"The snow is falling softly.","Falling",/f/,"What is the snow doing?","Falling","Calling","Coming down","Outdoors",2
"I need to check my email.","Email",/i/,"What do I need to check?","Email","Detail","Messages","Daily Life",2
"He is drinking a cold beer.","Beer",/b/,"What is he drinking?","Beer","Deer","Drink","Dining",3
"The flowers are blooming in the spring.","Blooming",/bl/,"What are the flowers doing?","Blooming","Rooming","Growing","Outdoors",2
"She is walking her dog in the park.","Dog",/d/,"What is she walking?","Dog","Fog","Pet","Outdoors",1
"The movie starts at seven thirty.","Thirty",/θ/,"What time does the movie start?","Thirty","Dirty","Seven","Social",3
"I need to buy a new pair of shoes.","Pair",/p/,"What do I need to buy?","Pair","Chair","Set","Daily Life",2
"He is eating a sandwich for lunch.","Sandwich",/s/,"What is he eating for lunch?","Sandwich","Bandage","Food","Dining",2
"The sky is cloudy and gray.","Cloudy",/kl/,"How is the sky?","Cloudy","Rowdy","Overcast","Outdoors",3
"She is listening to music with headphones.","Headphones",/h/,"What is she using to listen to music?","Headphones","Telephones","Earbuds","Daily Life",3
"The cat is chasing a mouse.","Mouse",/m/,"What is the cat chasing?","Mouse","House","Rodent","Daily Life",2
"I need to go to the post office.","Post office",/p/,"Where do I need to go?","Post office","Lost office","Mail","Daily Life",3
"He is riding a horse on the beach.","Horse",/h/,"What is he riding?","Horse","Course","Animal","Outdoors",4
"The soup is very hot.","Hot",/h/,"How is the soup?","Hot","Pot","Warm","Dining",1
"She is looking for her keys.","Keys",/k/,"What is she looking for?","Keys","Peas","Car","Daily Life",1
"The wind is blowing very strong.","Strong",/str/,"How is the wind blowing?","Strong","Wrong","Hard","Outdoors",2
"I have a dentist appointment tomorrow.","Dentist",/d/,"What kind of appointment do I have?","Dentist","Chemist","Doctor","Daily Life",4
"He is fishing in the lake.","Fishing",/f/,"What is he doing in the lake?","Fishing","Wishing","Swimming","Outdoors",3
"The children are playing outside.","Outside",/aʊ/,"Where are the children playing?","Outside","Inside","Yard","Outdoors",1
"She is baking cookies in the oven.","Cookies",/k/,"What is she baking?","Cookies","Bookies","Treats","Dining",2
"The phone is ringing loudly.","Loudly",/l/,"How is the phone ringing?","Loudly","Proudly","Noisily","Daily Life",1
"I need to buy some groceries.","Groceries",/gr/,"What do I need to buy?","Groceries","Wineries","Food","Daily Life",3
"He is wearing a blue shirt.","Blue",/b/,"What color is his shirt?","Blue","Glue","Dark","Daily Life",2
"The water is dripping from the faucet.","Dripping",/dr/,"What is the water doing?","Dripping","Tripping","Leaking","Daily Life",3
"She is reading a magazine.","Magazine",/m/,"What is she reading?","Magazine","Figurine","Book","Daily Life",3
"The dog is sleeping on the rug.","Rug",/r/,"Where is the dog sleeping?","Rug","Mug","Floor","Daily Life",2
"I need to pay the rent.","Rent",/r/,"What do I need to pay?","Rent","Tent","Bills","Daily Life",3
"He is driving a red car.","Red",/r/,"What color is the car?","Red","Bed","Fast","Daily Life",2
"The flowers need water.","Water",/w/,"What do the flowers need?","Water","Daughter","Sunlight","Outdoors",2
"She is wearing a hat and gloves.","Gloves",/gl/,"What is she wearing besides a hat?","Gloves","Loves","Mittens","Daily Life",2
"The movie was very scary.","Scary",/sk/,"How was the movie?","Scary","Dairy","Frightening","Social",3
"I need to brush my teeth.","Brush",/br/,"What do I need to do to my teeth?","Brush","Crush","Clean","Daily Life",1
"He is eating a bowl of cereal.","Cereal",/s/,"What is he eating?","Cereal","Serial","Breakfast","Dining",2
"The bird is sitting on the fence.","Fence",/f/,"Where is the bird sitting?","Fence","Dense","Wall","Outdoors",2
"She is looking at the stars.","Stars",/st/,"What is she looking at?","Stars","Cars","Sky","Outdoors",2
"The soup needs more salt.","Salt",/s/,"What does the soup need?","Salt","Fault","Pepper","Dining",2
"I am waiting for a package.","Package",/p/,"What am I waiting for?","Package","Cabbage","Mail","Daily Life",3
"He is playing guitar in a band.","Guitar",/g/,"What is he playing?","Guitar","Sitar","Instrument","Social",4
"The wind is blowing the clouds away.","Clouds",/kl/,"What is the wind blowing away?","Clouds","Crowds","Sky","Outdoors",3
"She is drinking a glass of wine.","Wine",/w/,"What is she drinking?","Wine","Line","Drink","Dining",3
"The car is parked on the street.","Street",/str/,"Where is the car parked?","Street","Treat","Road","Daily Life",2
"I need to buy a new toothbrush.","Toothbrush",/t/,"What do I need to buy?","Toothbrush","Hairbrush","Dental","Daily Life",3
"He is watching the news on TV.","News",/n/,"What is he watching on TV?","News","Shoes","Show","Daily Life",2
"The children are laughing at the joke.","Joke",/dʒ/,"What are the children laughing at?","Joke","Poke","Comedy","Social",2
"She is cooking pasta for dinner.","Pasta",/p/,"What is she cooking?","Pasta","Master","Food","Dining",2
"The dog is digging a hole in the yard.","Hole",/h/,"What is the dog digging?","Hole","Pole","Pit","Outdoors",2
"I need to vacuum the carpet.","Carpet",/k/,"What do I need to vacuum?","Carpet","Market","Floor","Daily Life",3
"He is wearing a black jacket.","Black",/bl/,"What color is his jacket?","Black","Slack","Dark","Daily Life",2
"The water is flowing down the river.","River",/r/,"Where is the water flowing?","River","Shiver","Stream","Outdoors",3
"She is putting the dishes in the dishwasher.","Dishwasher",/d/,"Where is she putting the dishes?","Dishwasher","Dispatcher","Sink","Daily Life",3
"The airplane is taking off.","Taking off",/t/,"What is the airplane doing?","Taking off","Baking off","Leaving","Outdoors",2
"I need to buy some fruit and vegetables.","Fruit",/fr/,"What do I need to buy besides vegetables?","Fruit","Boot","Food","Dining",2
"He is listening to a podcast.","Podcast",/p/,"What is he listening to?","Podcast","Broadcast","Show","Daily Life",4
"The snow is covering the ground.","Ground",/gr/,"What is the snow covering?","Ground","Found","Earth","Outdoors",2
"She is writing in her notebook.","Notebook",/n/,"What is she writing in?","Notebook","Cookbook","Journal","Daily Life",3
"The coffee is very strong.","Strong",/str/,"How is the coffee?","Strong","Wrong","Dark","Dining",3
"He is cleaning the bathroom mirror.","Mirror",/m/,"What is he cleaning?","Mirror","Nearer","Glass","Daily Life",4
"The children are playing hide and seek.","Hide and seek",/h/,"What are the children playing?","Hide and seek","Ride and peek","Game","Social",3
"She is wearing earrings in her ears.","Earrings",/ɪər/,"What is she wearing in her ears?","Earrings","Clearings","Jewelry","Social",3
"The wind is blowing the chimney smoke.","Smoke",/sm/,"What is the wind blowing?","Smoke","Poke","Chimney","Outdoors",4
"I need to make a phone call.","Call",/k/,"What do I need to make?","Call","Ball","Talk","Daily Life",1
"He is eating a piece of toast.","Toast",/t/,"What is he eating?","Toast","Most","Bread","Dining",2
"The bird is eating seeds from the feeder.","Seeds",/s/,"What is the bird eating?","Seeds","Weeds","Food","Outdoors",3
"She is looking for a recipe online.","Recipe",/r/,"What is she looking for?","Recipe","Therapy","Instructions","Dining",4
"The dog is swimming in the lake.","Swimming",/sw/,"What is the dog doing?","Swimming","Trimming","Playing","Outdoors",3
"I need to buy a ticket for the train.","Ticket",/t/,"What do I need to buy?","Ticket","Thicket","Pass","Daily Life",3
"He is wearing a belt with his pants.","Belt",/b/,"What is he wearing with his pants?","Belt","Melt","Strap","Daily Life",3
"The water is very deep in the ocean.","Deep",/d/,"How is the water in the ocean?","Deep","Sheep","Bottomless","Outdoors",4
"She is putting the clothes in the washing machine.","Washing Machine",/w/,"Where is she putting the clothes?","Washing Machine","Fashion Machine","Laundry","Daily Life",3
"The airplane is flying above the clouds.","Clouds",/kl/,"Where is the airplane flying?","Clouds","Crowds","Sky","Outdoors",3
"I need to buy some toothpaste.","Toothpaste",/t/,"What do I need to buy?","Toothpaste","Mouth-paste","Cleaner","Daily Life",4
"He is watching a comedy movie.","Comedy",/k/,"What kind of movie is he watching?","Comedy","Tragedy","Funny","Social",4
"The snow is melting on the roof.","Roof",/r/,"Where is the snow melting?","Roof","Goof","House","Outdoors",3
"She is writing a report for work.","Report",/r/,"What is she writing?","Report","Support","Document","Daily Life",4
"The coffee is very bitter.","Bitter",/b/,"How is the coffee?","Bitter","Litter","Strong","Dining",4
"He is cleaning the kitchen floor.","Floor",/fl/,"What is he cleaning?","Floor","Door","Tiles","Daily Life",2
"The children are building a sandcastle.","Sandcastle",/s/,"What are the children building?","Sandcastle","Land-hassle","Fort","Outdoors",4
"She is wearing a ring on her finger.","Ring",/r/,"What is she wearing on her finger?","Ring","Wing","Jewelry","Social",2
"The wind is blowing the curtains.","Curtains",/k/,"What is the wind blowing?","Curtains","Fountains","Windows","Daily Life",3
"I need to go to the grocery store.","Grocery store",/g/,"Where do I need to go?","Grocery store","Rosary door","Market","Daily Life",1
"He is eating a bowl of soup.","Bowl",/b/,"What is he eating from?","Bowl","Toll","Dish","Dining",1
"The bird is singing a beautiful song.","Song",/s/,"What is the bird singing?","Song","Wrong","Tune","Outdoors",2
"She is looking for a new apartment.","Apartment",/p/,"What is she looking for?","Apartment","Department","Home","Daily Life",4
"The dog is chasing a ball.","Ball",/b/,"What is the dog chasing?","Ball","Wall","Toy","Outdoors",1
"I need to buy a new coat.","Coat",/k/,"What do I need to buy?","Coat","Boat","Jacket","Daily Life",2
"He is wearing a tie with his shirt.","Tie",/t/,"What is he wearing with his shirt?","Tie","Pie","Neckwear","Social",2
"The water is flowing under the bridge.","Bridge",/br/,"Where is the water flowing?","Bridge","Fridge","Road","Outdoors",3
"She is putting the books on the shelf.","Shelf",/ʃ/,"Where is she putting the books?","Shelf","Self","Bookcase","Daily Life",2
"The airplane is landing on the runway.","Runway",/r/,"Where is the airplane landing?","Runway","One-way","Airport","Outdoors",4
